Input; Output1; Output2; Output3; Output4; Output5; Output6; Output7; Output8; Output9; Output10; Score1; Score2; Score3; Score4; Score5; Score6; Score7; Score8; Score9; Score10
trabajo; trabajadora; femenina; mujer; autora; madre; española; misma; la; compañera; rica; 0.13348; 0.06849; 0.06549; 0.02674; 0.02664; 0.02218; 0.01794; 0.01509; 0.01476; 0.01416
inteligencia; mujer; belleza; femenina; autora; inteligencia; escritora; española; bella; misma; hija; 0.12662; 0.0892; 0.08736; 0.05653; 0.04775; 0.03827; 0.0234; 0.01983; 0.01618; 0.01554
rey; reina; mujer; hija; dama; española; india; negra; Isabel; francesa; italiana; 0.61651; 0.03124; 0.03085; 0.02637; 0.02519; 0.02455; 0.01444; 0.01274; 0.00898; 0.00895
programador; escritora; actriz; autora; diseñadora; creadora; creativa; española; femenina; directora; mujer; 0.20544; 0.11457; 0.06867; 0.06653; 0.02569; 0.0247; 0.02142; 0.02124; 0.01733; 0.0158
medico; doctora; enfermera; escritora; madre; mujer; profesora; médica; actriz; científica; argentina; 0.25077; 0.0768; 0.03767; 0.03187; 0.02671; 0.02557; 0.02354; 0.01936; 0.0184; 0.01837
muebles; catalana; muebles; abierta; Nuria; Lola; casa; artística; desnuda; bonita; Laura; 0.04719; 0.03598; 0.03314; 0.02504; 0.02321; 0.02238; 0.01666; 0.01611; 0.01565; 0.01546
fidelidad; femenina; mujer; madre; española; la; fidelidad; abierta; ella; hija; Sofía; 0.05125; 0.02875; 0.02581; 0.02464; 0.02351; 0.02149; 0.02134; 0.02122; 0.01927; 0.01895
experto; experta; rica; española; femenina; amiga; escritora; autora; madura; mujer; india; 0.46777; 0.04102; 0.02202; 0.02054; 0.01756; 0.01522; 0.01307; 0.01292; 0.0126; 0.00989
amor; mujer; femenina; amiga; madre; dama; belleza; hija; bella; mia; española; 0.14552; 0.12501; 0.03865; 0.03289; 0.02839; 0.0255; 0.02023; 0.01538; 0.01526; 0.01504
casa; casa; la; ella; amiga; madre; mia; argentina; bonita; Laura; española; 0.50683; 0.04236; 0.02037; 0.0199; 0.01438; 0.01307; 0.01056; 0.00722; 0.00693; 0.00596
embajador; embajadora; actriz; amiga; escritora; española; Isabel; india; brasileña; autora; Cristina; 0.05914; 0.04869; 0.04415; 0.04297; 0.03653; 0.03307; 0.02332; 0.01809; 0.01775; 0.01504
ligon; femenina; francesa; italiana; bella; española; negra; rica; amiga; mujer; actriz; 0.13848; 0.03771; 0.03739; 0.03171; 0.03137; 0.02746; 0.0271; 0.02641; 0.02433; 0.02341
espabilado; femenina; española; madura; catalana; bonita; negra; abierta; mujer; francesa; madre; 0.27953; 0.06143; 0.04559; 0.02281; 0.01862; 0.01715; 0.01617; 0.0161; 0.01591; 0.01483
adinerado; rica; femenina; francesa; española; italiana; negra; mujer; japonesa; africana; trabajadora; 0.46826; 0.05279; 0.04695; 0.03944; 0.02077; 0.01754; 0.0124; 0.01221; 0.01169; 0.01148
rico; rica; negra; bella; española; mujer; francesa; hermosa; bonita; trabajadora; madre; 0.75583; 0.0754; 0.02139; 0.00794; 0.00541; 0.00532; 0.0052; 0.00486; 0.00483; 0.00442
engaÃ±o; femenina; amiga; mujer; bonita; la; otra; madre; autora; ella; hija; 0.07117; 0.03343; 0.03184; 0.02879; 0.026; 0.02399; 0.02374; 0.02355; 0.02089; 0.02035
conducir; femenina; la; madre; ella; mujer; italiana; embarazada; escritora; Laura; conductora; 0.0624; 0.03914; 0.03661; 0.02707; 0.02349; 0.02245; 0.01986; 0.01958; 0.01934; 0.01816
azul; negra; roja; blanca; rosa; Blanca; Roja; italiana; rusa; rubia; dorada; 0.33356; 0.304; 0.23976; 0.01853; 0.01157; 0.00908; 0.00486; 0.00415; 0.0035; 0.00269
rosa; negra; blanca; roja; rosa; femenina; Rosa; rusa; india; italiana; japonesa; 0.42848; 0.17292; 0.11726; 0.06598; 0.01363; 0.01336; 0.01001; 0.00882; 0.00783; 0.00646
deporte; mujer; femenina; española; política; estética; madre; actriz; bella; belleza; artística; 0.11436; 0.1053; 0.03132; 0.02849; 0.02115; 0.01771; 0.01573; 0.01531; 0.01448; 0.01442
fiel; femenina; amiga; bella; tierna; bonita; casada; española; ella; abierta; mujer; 0.13025; 0.08702; 0.05852; 0.03516; 0.03183; 0.02616; 0.02267; 0.02199; 0.02182; 0.02155
abogado; escritora; abogada; actriz; mujer; madre; española; negra; argentina; catalana; autora; 0.09493; 0.0901; 0.06285; 0.05946; 0.04487; 0.03525; 0.02756; 0.02323; 0.01979; 0.01598
