Input; Output1; Output2; Output3; Output4; Output5; Output6; Output7; Output8; Output9; Output10; Score1; Score2; Score3; Score4; Score5; Score6; Score7; Score8; Score9; Score10
trabajo; trabajo; mujer; trabajar; .; vida; la; hombre; un; mi; que; 0.17348; 0.02586; 0.02389; 0.02065; 0.01894; 0.01306; 0.01267; 0.0097; 0.00801; 0.0067
inteligencia; inteligencia; mujer; hombre; igualdad; persona; humanidad; verdad; belleza; diferencia; cultura; 0.29599; 0.07012; 0.02257; 0.01335; 0.01137; 0.01044; 0.00987; 0.00856; 0.00759; 0.00649
rey; rey; reina; mujer; caballo; hombre; Rey; dios; caballero; dama; Reina; 0.28166; 0.23191; 0.06114; 0.0304; 0.01758; 0.00938; 0.00622; 0.00616; 0.00573; 0.00435
programador; programador; hombre; persona; informático; mujer; . . .; un; .; ingeniero; robot; 0.18704; 0.04078; 0.03374; 0.02136; 0.0158; 0.0143; 0.01401; 0.01253; 0.01114; 0.00701
medico; medico; médico; mujer; hombre; doctor; . . .; medicina; la; persona; doctora; 0.15575; 0.09567; 0.03577; 0.02334; 0.0206; 0.01387; 0.01347; 0.01177; 0.01132; 0.01092
muebles; muebles; . . .; casa; los; .; todos; la; un; madera; c; 0.13873; 0.02572; 0.02136; 0.01165; 0.01151; 0.00937; 0.00797; 0.00733; 0.00699; 0.00689
fidelidad; fidelidad; la; vida; mujer; .; fiel; persona; . . .; Dios; ella; 0.09395; 0.02823; 0.02184; 0.01556; 0.01547; 0.01157; 0.01153; 0.00991; 0.00937; 0.00714
experto; experto; experta; especialista; mujer; Experto; . . .; más; hombre; mejor; expertos; 0.2448; 0.05582; 0.01686; 0.01148; 0.0088; 0.00841; 0.0073; 0.00687; 0.00562; 0.00447
amor; mujer; amor; vida; sexo; la; mi; hombre; verdad; muerte; ti; 0.09642; 0.08369; 0.03084; 0.02496; 0.01984; 0.01917; 0.01884; 0.01578; 0.01474; 0.01391
casa; casa; la; .; . . .; mi; domicilio; Casa; lo; vida; ella; 0.63848; 0.03178; 0.01371; 0.00973; 0.00915; 0.00582; 0.00493; 0.00488; 0.00426; 0.00416
