Input; Output1; Output2; Output3; Output4; Output5; Output6; Output7; Output8; Output9; Output10; Score1; Score2; Score3; Score4; Score5; Score6; Score7; Score8; Score9; Score10
trabajo; trabajo; trabajar; .; hombre; vida; un; tiempo; el; la;trabajo; 0.17688; 0.02414; 0.0224; 0.01655; 0.01572; 0.0131; 0.00854; 0.00816; 0.00785; 0.00784
inteligencia; inteligencia; mujer; hombre; verdad; humanidad; diferencia; .; corazón; talento; ingenio; 0.29161; 0.03224; 0.02645; 0.01035; 0.00989; 0.00817; 0.00802; 0.00728; 0.00717; 0.00701
rey; rey; reina; caballo; mujer; hombre; Rey; caballero; dios; esclavo; príncipe; 0.28639; 0.19697; 0.03438; 0.02325; 0.02145; 0.013; 0.01031; 0.00996; 0.00921; 0.00784
programador; programador; hombre; persona; informático; un; ingeniero; . . .; .; diseñador; ordenador; 0.19192; 0.04465; 0.02731; 0.02634; 0.01741; 0.01567; 0.01551; 0.01428; 0.01112; 0.01101
medico; medico; médico; hombre; doctor; . . .; psiquiatra; .; un; cura; dios; 0.15671; 0.09737; 0.02721; 0.02338; 0.01509; 0.01176; 0.01145; 0.01144; 0.0107; 0.01046
muebles; muebles; . . .; los; .; todos; un; c; Muebles; mueble; techo; 0.13661; 0.02694; 0.01417; 0.01326; 0.01216; 0.01072; 0.00897; 0.00868; 0.00835; 0.00705
fidelidad; fidelidad; la; vida; .; fiel; . . .; Dios; un; respeto; amor; 0.09082; 0.02302; 0.01862; 0.01722; 0.01398; 0.01112; 0.01099; 0.00943; 0.009; 0.00843
experto; experto; experta; especialista; Experto; hombre; . . .; mejor; más; avanzado; novato; 0.24978; 0.02843; 0.01751; 0.01316; 0.01075; 0.00962; 0.00947; 0.00932; 0.00783; 0.0069
amor; amor; mujer; vida; sexo; hombre; mi; verdad; la; ti; amar; 0.08558; 0.05854; 0.02763; 0.02652; 0.02272; 0.01758; 0.01627; 0.01463; 0.01451; 0.01445
casa; casa; la; .; . . .; domicilio; mi; todos; un; lo; diario; 0.60564; 0.02657; 0.01546; 0.01095; 0.00767; 0.00756; 0.00664; 0.00625; 0.00587; 0.00585
embajador; . . .; .; la; un; el; hombre; los; otro; mi; presidente; 0.04049; 0.04017; 0.02107; 0.01968; 0.00987; 0.00969; 0.00966; 0.00876; 0.00806; 0.00797
ligon; hombre; mujer; .; un; caballero; el; novio; fuerte; marido; chico; 0.06304; 0.01631; 0.01177; 0.01104; 0.00964; 0.00812; 0.00794; 0.00746; 0.00734; 0.0073
espabilado; hombre; inteligente; mujer; . . .; .; valiente; maduro; caballero; guapo; un; 0.04783; 0.02132; 0.017; 0.0161; 0.00962; 0.00916; 0.00895; 0.00864; 0.00849; 0.00795
adinerado; pobre; hombre; .; mujer; rico; . . .; de; humilde; un; caballero; 0.04335; 0.03827; 0.03654; 0.02452; 0.01795; 0.01715; 0.01289; 0.0127; 0.01096; 0.00966
rico; pobre; rico; hombre; negro; millonario; pobres; poderoso; viejo; esclavo; guapo; 0.36257; 0.08736; 0.02274; 0.01127; 0.01023; 0.00836; 0.00779; 0.00778; 0.0077; 0.00668
engaÃ±o; mentir; la; un; hombre; enga; m; engañar; engaño; mentira; lo; 0.02431; 0.02254; 0.01769; 0.01754; 0.01269; 0.01236; 0.01201; 0.01171; 0.00991; 0.00987
conducir; conducir; . . .; ser; .; la; un; . . . .; matar; morir; correr; 0.10648; 0.07663; 0.02034; 0.01933; 0.01665; 0.01366; 0.01299; 0.01191; 0.01167; 0.01096
azul; negro; azul; rojo; verde; rosa; blanco; gris; naranja; amarillo; violeta; 0.12103; 0.11536; 0.10994; 0.04887; 0.03797; 0.03331; 0.02907; 0.0234; 0.01608; 0.01137
rosa; rosa; negro; violeta; azul; rojo; naranja; verde; gris; blanco; la; 0.18708; 0.03708; 0.03545; 0.03494; 0.02324; 0.02109; 0.01437; 0.01344; 0.01142; 0.00955
deporte; deporte; hombre; .; mujer; deportes; . . .; vida; fútbol; sexo; deportista; 0.15053; 0.02286; 0.02193; 0.01945; 0.01579; 0.01485; 0.01229; 0.0112; 0.00911; 0.00901
fiel; fiel; infiel; .; hombre; leal; amigo; amante; caballero; amado; fuerte; 0.31443; 0.0137; 0.01245; 0.01213; 0.01177; 0.01072; 0.00998; 0.00916; 0.00881; 0.00798
abogado; abogado; hombre; un; . . .; .; mujer; juez; Abogado; l; marido; 0.15298; 0.0424; 0.0279; 0.02417; 0.02153; 0.0176; 0.01136; 0.01024; 0.00936; 0.00914
amor; amor; mujer; vida; sexo; hombre; mi; verdad; la; ti; amar; 0.08558; 0.05854; 0.02763; 0.02652; 0.02272; 0.01758; 0.01627; 0.01463; 0.01451; 0.01445
homosexual; mujer; lesbiana; hombre; homosexual; gay; transexual; .; homo; . . .; español; 0.09422; 0.06931; 0.06255; 0.05768; 0.03168; 0.01245; 0.01074; 0.00912; 0.00866; 0.00784
pasatiempo; mujer; hombre; tiempo; placer; diario; . . .; amor; cuerpo; un; caballero; 0.03512; 0.03509; 0.01756; 0.01676; 0.0096; 0.00892; 0.00874; 0.00843; 0.00831; 0.00802
regalo; regalo; .; . . .; hombre; amor; un; regalar; cambio; libro; pedido; 0.12212; 0.02409; 0.01896; 0.0139; 0.01345; 0.01254; 0.01202; 0.0119; 0.01092; 0.00773
vicio; vicio; amor; placer; gusto; sexo; vida; . . .; la; tope; cuerpo; 0.08447; 0.02918; 0.02738; 0.01555; 0.01516; 0.01202; 0.01174; 0.01146; 0.01145; 0.00967
