Input; Output1; Output2; Output3; Output4; Output5; Output6; Output7; Output8; Output9; Output10; Score1; Score2; Score3; Score4; Score5; Score6; Score7; Score8; Score9; Score10
trabajo; mujer; femenina; trabajadora; madre; autora; maternidad; española; misma; la; Mujer; 0.1936; 0.08627; 0.0516; 0.03399; 0.02484; 0.02018; 0.01672; 0.01495; 0.01368; 0.01337
inteligencia; belleza; mujer; femenina; autora; inteligencia; escritora; bella; española; estética; naturaleza; 0.14634; 0.12088; 0.06831; 0.03472; 0.03452; 0.02519; 0.02305; 0.02229; 0.01909; 0.01721
rey; reina; dama; mujer; Isabel; india; hija; princesa; española; negra; madre; 0.58337; 0.05529; 0.05243; 0.03134; 0.02385; 0.02105; 0.01721; 0.01552; 0.00874; 0.00747
programadora; escritora; autora; creadora; directora; actriz; diseñadora; creativa; femenina; profesora; trabajadora; 0.08414; 0.07677; 0.06906; 0.04343; 0.04309; 0.02814; 0.02783; 0.02613; 0.02232; 0.02167
medica; doctora; femenina; médica; mujer; científica; madre; enfermera; francesa; española; argentina; 0.17712; 0.14612; 0.09867; 0.06126; 0.04144; 0.02438; 0.0224; 0.01603; 0.01472; 0.01087
muebles; catalana; Lola; casa; Laura; desnuda; muebles; la; Nuria; abierta; mujer; 0.04383; 0.03503; 0.02982; 0.02968; 0.02272; 0.01981; 0.01947; 0.01906; 0.01808; 0.016
fidelidad; femenina; fidelidad; la; mujer; española; ella; madre; bella; Ella; Sofía; 0.05244; 0.04438; 0.0434; 0.02754; 0.02413; 0.02364; 0.0228; 0.02052; 0.01884; 0.01685
experta; experta; femenina; rica; española; amiga; mujer; escritora; madura; bella; autora; 0.6597; 0.03213; 0.03103; 0.0159; 0.01069; 0.00768; 0.00665; 0.00613; 0.00565; 0.00548
amor; mujer; femenina; belleza; dama; madre; amiga; la; bella; ella; hija; 0.21777; 0.07446; 0.04136; 0.03637; 0.0293; 0.02488; 0.01769; 0.01634; 0.01426; 0.01359
casa; casa; la; ella; madre; mujer; amiga; Ella; Casa; España; Laura; 0.55671; 0.02789; 0.0239; 0.01664; 0.01471; 0.0147; 0.01265; 0.0113; 0.00841; 0.00705
embajadora; embajadora; actriz; amiga; española; bella; autora; mujer; escritora; dama; Isabel; 0.11989; 0.05236; 0.04301; 0.02712; 0.02591; 0.0229; 0.02273; 0.02233; 0.01893; 0.01747
ligona; femenina; española; bella; mujer; francesa; romántica; amiga; bonita; rica; negra; 0.15827; 0.05412; 0.04889; 0.0476; 0.03534; 0.02911; 0.02863; 0.02597; 0.0252; 0.02497
espabilada; femenina; española; mujer; madura; catalana; bella; madre; abierta; negra; francesa; 0.18721; 0.07624; 0.04214; 0.02476; 0.02393; 0.02248; 0.02225; 0.02119; 0.01605; 0.01502
adinerada; rica; femenina; francesa; mujer; española; bella; hermosa; dama; negra; italiana; 0.31083; 0.06303; 0.04167; 0.02923; 0.02844; 0.0238; 0.02137; 0.02085; 0.01986; 0.01676
rica; rica; negra; bella; hermosa; blanca; española; pequeña; bonita; madura; roja; 0.82141; 0.05952; 0.01474; 0.00907; 0.00814; 0.00441; 0.00362; 0.00341; 0.00316; 0.00226
engaÃ±o; mujer; femenina; Laura; violada; la; amiga; madre; ella; hija; dama; 0.11521; 0.04716; 0.02674; 0.0255; 0.02537; 0.02527; 0.0225; 0.02202; 0.02179; 0.01734
conducir; la; mujer; madre; femenina; ella; Laura; embarazada; Isabel; escritora; italiana; 0.05845; 0.05011; 0.04821; 0.04474; 0.02994; 0.02854; 0.0202; 0.01738; 0.0166; 0.01541
azul; negra; roja; blanca; rosa; Blanca; Roja; Rosa; italiana; rusa; femenina; 0.2705; 0.26742; 0.25425; 0.04085; 0.03638; 0.02235; 0.0055; 0.00418; 0.00337; 0.00304
rosa; negra; rosa; blanca; roja; Rosa; femenina; Blanca; Lola; española; india; 0.28129; 0.2137; 0.13736; 0.10415; 0.03898; 0.01094; 0.00901; 0.0089; 0.00706; 0.00643
deporte; mujer; femenina; española; política; belleza; dama; la; bella; madre; actriz; 0.20399; 0.09057; 0.03149; 0.02632; 0.01881; 0.01556; 0.01468; 0.01443; 0.01428; 0.01405
fiel; femenina; bella; amiga; mujer; tierna; ella; enamorada; casada; bonita; hermosa; 0.1536; 0.08847; 0.05828; 0.03703; 0.03217; 0.03159; 0.03129; 0.02429; 0.02324; 0.02005
abogada; abogada; escritora; mujer; actriz; española; madre; autora; femenina; catalana; política; 0.20396; 0.08742; 0.06084; 0.05519; 0.04714; 0.02934; 0.02072; 0.02048; 0.01918; 0.0168
amor; mujer; femenina; belleza; dama; madre; amiga; la; bella; ella; hija; 0.21777; 0.07446; 0.04136; 0.03637; 0.0293; 0.02488; 0.01769; 0.01634; 0.01426; 0.01359
homosexual; lesbiana; mujer; femenina; española; negra; india; musulmana; escritora; italiana; japonesa; 0.20584; 0.10827; 0.09336; 0.07355; 0.02941; 0.02399; 0.01883; 0.01704; 0.01602; 0.01444
pasatiempo; mujer; femenina; dama; chica; belleza; amiga; bella; actriz; escritora; española; 0.17179; 0.12749; 0.11552; 0.04807; 0.02367; 0.0213; 0.01874; 0.01583; 0.0114; 0.0112
regalo; mujer; amiga; madre; Navidad; dama; ella; la; femenina; autora; Lola; 0.06376; 0.04921; 0.03969; 0.03911; 0.03328; 0.02168; 0.02105; 0.02049; 0.01612; 0.01608
vicio; belleza; mujer; la; femenina; muerte; madre; abierta; española; Lola; bella; 0.06239; 0.04604; 0.03309; 0.02755; 0.02733; 0.0243; 0.02335; 0.02281; 0.02181; 0.02147
droga; mujer; negra; madre; española; la; hija; femenina; asesina; bella; blanca; 0.09346; 0.04799; 0.04759; 0.03017; 0.02215; 0.02172; 0.01917; 0.017; 0.01637; 0.01505
adicciÃ³n; mujer; femenina; la; misma; madre; ella; japonesa; actriz; chica; belleza; 0.13633; 0.12469; 0.05446; 0.02293; 0.02217; 0.02005; 0.01581; 0.0145; 0.01325; 0.01217
prioridad; mujer; femenina; actriz; política; autora; española; la; maternidad; dama; Isabel; 0.06797; 0.06112; 0.0513; 0.03161; 0.02247; 0.01878; 0.01692; 0.01511; 0.01412; 0.01258
objeto; mujer; femenina; madre; dama; autora; hija; actriz; desnuda; naturaleza; amiga; 0.47423; 0.06598; 0.04867; 0.04622; 0.02954; 0.01489; 0.0141; 0.01336; 0.00989; 0.00949
arte; mujer; belleza; femenina; autora; escritora; estética; artística; poesía; naturaleza; dama; 0.18391; 0.09753; 0.07557; 0.03493; 0.03153; 0.02929; 0.02465; 0.02068; 0.01826; 0.01725
vida; vida; mujer; belleza; hija; madre; dama; muerte; misma; autora; escritora; 0.17601; 0.16286; 0.03454; 0.02908; 0.02645; 0.02508; 0.02086; 0.01908; 0.01797; 0.01661
vivir; la; muerte; ella; Ella; mujer; vida; vivir; morir; Isabel; madre; 0.06229; 0.04396; 0.04387; 0.04284; 0.03957; 0.03633; 0.02534; 0.02065; 0.01733; 0.01693
jugar; la; ella; divertirse; bailar; femenina; mujer; Laura; Lola; Ella; casa; 0.06343; 0.05111; 0.03184; 0.02736; 0.02532; 0.02524; 0.0219; 0.02065; 0.01932; 0.01692
cocinar; cocinar; madre; la; Lola; cocinera; cocina; mujer; ella; española; femenina; 0.07414; 0.03944; 0.03827; 0.03779; 0.03604; 0.02484; 0.02478; 0.021; 0.02024; 0.01943
intimidad; mujer; intimidad; femenina; íntima; misma; bella; abierta; amiga; autora; desnuda; 0.08178; 0.07819; 0.07443; 0.07244; 0.02461; 0.0187; 0.01848; 0.01695; 0.01548; 0.01374
cama; mujer; femenina; misma; casa; española; la; blanca; dama; hermosa; negra; 0.06479; 0.03474; 0.03406; 0.03258; 0.03155; 0.03053; 0.02447; 0.02212; 0.01717; 0.01699
embajada; femenina; mujer; española; la; Isabel; Ella; hija; bella; japonesa; Laura; 0.2533; 0.07387; 0.03725; 0.0296; 0.02275; 0.01955; 0.01878; 0.01526; 0.01453; 0.01402
familia; madre; familia; mujer; amiga; casa; hija; hermana; española; dama; misma; 0.1258; 0.09389; 0.07816; 0.04119; 0.03998; 0.03822; 0.03622; 0.03144; 0.01698; 0.00974
hijos; hija; madre; mujer; mujeres; esposa; hijas; Isabel; hijos; Juana; embarazada; 0.21813; 0.19968; 0.09827; 0.02297; 0.0228; 0.02148; 0.02099; 0.01926; 0.01402; 0.01278
matrimonio; mujer; casada; dama; madre; femenina; la; española; hija; esposa; ella; 0.12926; 0.03709; 0.03637; 0.03472; 0.03015; 0.02728; 0.02663; 0.01932; 0.01708; 0.01615
dinero; mujer; la; madre; ella; femenina; Ella; mujeres; española; dama; bella; 0.1997; 0.05422; 0.03942; 0.03344; 0.02827; 0.02545; 0.02109; 0.01974; 0.01627; 0.01521
supervivencia; mujer; femenina; naturaleza; maternidad; belleza; vida; autora; madre; muerte; misma; 0.0844; 0.07104; 0.05271; 0.03724; 0.02891; 0.02852; 0.02787; 0.02572; 0.02344; 0.01722
astucia; bella; dama; femenina; mujer; española; bonita; hermosa; negra; belleza; rica; 0.11843; 0.09657; 0.03693; 0.03291; 0.02972; 0.02933; 0.02671; 0.02147; 0.01928; 0.01927
fuerza; mujer; femenina; dama; fuerza; española; autora; belleza; misma; Isabel; política; 0.15333; 0.09379; 0.03876; 0.02877; 0.02675; 0.0261; 0.0207; 0.01631; 0.01546; 0.01533
rebelde; femenina; mujer; abierta; española; madre; bella; amiga; hija; violada; lesbiana; 0.13741; 0.05873; 0.03647; 0.02883; 0.02799; 0.02362; 0.02052; 0.01489; 0.01402; 0.01373
