Input; Output1; Output2; Output3; Output4; Output5; Output6; Output7; Output8; Output9; Output10; Score1; Score2; Score3; Score4; Score5; Score6; Score7; Score8; Score9; Score10
trabajo; trabajo; mujer; hombre; vida; .; la; amor; sexo; casa; persona; 0.09921; 0.09129; 0.04567; 0.04318; 0.01493; 0.014; 0.01001; 0.00755; 0.00749; 0.00722
inteligencia; inteligencia; mujer; hombre; humanidad; belleza; verdad; palabra; la; libertad; vida; 0.19526; 0.06105; 0.03522; 0.0163; 0.01295; 0.01121; 0.00993; 0.00907; 0.00889; 0.00887
rey; rey; reina; mujer; caballo; hombre; Rey; dios; príncipe; Dios; caballero; 0.36026; 0.11184; 0.05233; 0.04176; 0.03184; 0.0134; 0.00833; 0.00821; 0.00664; 0.00658
programadora; programador; .; máquina; mujer; hombre; ordenador; la; computadora; program; persona; 0.03644; 0.03289; 0.0231; 0.02231; 0.01957; 0.01621; 0.01429; 0.01191; 0.0111; 0.01102
medica; mujer; medicina; médico; hombre; médica; la; .; medico; persona; a; 0.08794; 0.05274; 0.04926; 0.0436; 0.02145; 0.01965; 0.01911; 0.01722; 0.01384; 0.01094
muebles; muebles; casa; . . .; los; .; la; todos; un; madera; Barcelona; 0.09006; 0.03376; 0.01933; 0.01504; 0.01486; 0.01322; 0.01127; 0.00914; 0.00779; 0.00748
fidelidad; fidelidad; la; vida; amor; Dios; mujer; .; fe; fiel; ella; 0.16583; 0.04458; 0.02483; 0.01851; 0.0177; 0.01267; 0.01232; 0.01068; 0.00999; 0.00679
experta; experta; experto; mujer; .; experiencia; la; especialista; más; . . .; que; 0.25301; 0.07045; 0.02275; 0.01318; 0.01317; 0.01121; 0.00979; 0.0082; 0.00666; 0.00562
amor; amor; mujer; vida; hombre; la; mi; sexo; amar; muerte; verdad; 0.12037; 0.11506; 0.04046; 0.02216; 0.0203; 0.01534; 0.01503; 0.01317; 0.01153; 0.0111
casa; casa; la; Casa; vida; España; ella; mujer; .; familia; mi; 0.70331; 0.02097; 0.0112; 0.00891; 0.00643; 0.00495; 0.00473; 0.00459; 0.00391; 0.00336
embajadora; .; mujer; la; casa; . . .; persona; ser; vida; hombre; l; 0.03782; 0.03627; 0.03468; 0.01613; 0.01483; 0.01204; 0.00975; 0.00954; 0.00703; 0.00632
ligona; mujer; hombre; puta; novia; amante; amor; la; chica; lesbiana; bella; 0.11989; 0.05705; 0.01425; 0.01399; 0.01083; 0.01005; 0.00972; 0.009; 0.0086; 0.00847
espabilada; mujer; hombre; inteligente; puta; . . .; la; .; una; valiente; persona; 0.09482; 0.06296; 0.01192; 0.0093; 0.00913; 0.009; 0.00687; 0.00641; 0.00611; 0.005
adinerada; mujer; .; hombre; la; . . .; pobre; una; un; ; de; 0.07136; 0.04351; 0.03917; 0.02345; 0.01339; 0.01245; 0.01014; 0.00876; 0.00863; 0.00837
rica; rica; pobre; rico; mujer; negra; .; bella; grande; hombre; morena; 0.09733; 0.08537; 0.02835; 0.02431; 0.01763; 0.0171; 0.01433; 0.0132; 0.01211; 0.01051
engaÃ±o; mujer; mentira; hombre; la; engaño; mentir; verdad; enga; estafa; amor; 0.04179; 0.03122; 0.02888; 0.02009; 0.01921; 0.01237; 0.01211; 0.0116; 0.00895; 0.00828
conducir; conducir; . . .; la; ser; mujer; .; los; hombre; correr; volar; 0.07636; 0.05275; 0.03777; 0.03069; 0.01456; 0.01299; 0.01128; 0.01063; 0.01007; 0.00934
azul; negro; azul; rojo; rosa; blanco; verde; violeta; roja; naranja; gris; 0.14137; 0.13753; 0.10769; 0.05558; 0.03485; 0.02726; 0.0197; 0.01836; 0.01691; 0.01596
