Input; Output1; Output2; Output3; Output4; Output5; Output6; Output7; Output8; Output9; Output10; Score1; Score2; Score3; Score4; Score5; Score6; Score7; Score8; Score9; Score10
trabajo; trabajo; mujer; hombre; vida; .; la; amor; sexo; ser; persona; 0.09952; 0.08785; 0.04602; 0.04288; 0.01509; 0.01353; 0.01018; 0.00769; 0.00668; 0.00664
inteligencia; inteligencia; mujer; hombre; humanidad; verdad; belleza; palabra; libertad; la; vida; 0.19487; 0.05761; 0.03557; 0.01625; 0.01125; 0.01064; 0.0094; 0.00875; 0.0086; 0.00858
rey; rey; reina; mujer; caballo; hombre; Rey; dios; príncipe; caballero; Dios; 0.3607; 0.10866; 0.04888; 0.04212; 0.03219; 0.01373; 0.00866; 0.00853; 0.00696; 0.00679
programadora; programador; .; máquina; hombre; mujer; ordenador; la; computadora; program; persona; 0.03688; 0.03305; 0.02328; 0.01992; 0.01887; 0.0166; 0.01381; 0.012; 0.01126; 0.01044
medica; mujer; medicina; médico; hombre; .; la; médica; medico; persona; a; 0.0845; 0.05207; 0.04942; 0.04395; 0.01927; 0.01918; 0.01862; 0.01731; 0.01325; 0.01105
muebles; muebles; casa; . . .; los; .; la; todos; un; madera; Barcelona; 0.08987; 0.03078; 0.01944; 0.01527; 0.01502; 0.01274; 0.01153; 0.00945; 0.00774; 0.0074
fidelidad; fidelidad; la; vida; amor; Dios; .; fe; fiel; mujer; verdad; 0.16555; 0.0441; 0.02454; 0.01868; 0.01785; 0.01248; 0.01031; 0.01021; 0.00923; 0.00666
experta; experta; experto; mujer; .; experiencia; la; especialista; más; . . .; que; 0.25052; 0.0709; 0.01931; 0.01334; 0.01329; 0.01074; 0.00984; 0.00838; 0.00677; 0.00567
amor; amor; mujer; vida; hombre; la; mi; sexo; amar; verdad; corazón; 0.12054; 0.11161; 0.04017; 0.02251; 0.01982; 0.01519; 0.01517; 0.01343; 0.01115; 0.01102
casa; casa; la; Casa; vida; España; .; ti; mi; hogar; . . .; 0.70033; 0.0205; 0.01045; 0.00862; 0.00554; 0.00475; 0.00327; 0.00321; 0.00303; 0.0029
embajadora; .; la; mujer; . . .; casa; persona; ser; vida; hombre; l; 0.03798; 0.0342; 0.03283; 0.01494; 0.01315; 0.01146; 0.0099; 0.00925; 0.00738; 0.00657
ligona; mujer; hombre; puta; novia; amante; amor; la; .; sexy; una; 0.11645; 0.05741; 0.01378; 0.01317; 0.01102; 0.01022; 0.00924; 0.00783; 0.00652; 0.00644
espabilada; mujer; hombre; inteligente; . . .; puta; la; .; valiente; una; fuerte; 0.09138; 0.06331; 0.01188; 0.00925; 0.00883; 0.00853; 0.00702; 0.0063; 0.00604; 0.00461
adinerada; mujer; .; hombre; la; . . .; pobre; una; un; ; de; 0.06791; 0.04367; 0.03952; 0.02298; 0.0135; 0.0126; 0.00977; 0.00907; 0.00854; 0.00841
rica; rica; pobre; rico; mujer; .; grande; negra; hombre; la; bella; 0.0892; 0.08551; 0.02868; 0.02086; 0.01726; 0.01308; 0.01256; 0.01246; 0.00993; 0.00916
engaÃ±o; mujer; mentira; hombre; la; engaño; mentir; verdad; enga; estafa; amor; 0.03835; 0.03124; 0.02924; 0.01962; 0.01945; 0.01258; 0.01215; 0.01179; 0.00875; 0.00845
conducir; conducir; . . .; la; ser; .; los; mujer; hombre; correr; un; 0.07666; 0.05286; 0.03729; 0.03084; 0.01315; 0.01151; 0.01112; 0.01098; 0.01016; 0.00949
azul; negro; azul; rojo; rosa; blanco; verde; violeta; naranja; amarillo; gris; 0.14178; 0.13766; 0.10813; 0.05434; 0.03525; 0.02748; 0.0193; 0.01684; 0.01626; 0.01624
rosa; rosa; negro; violeta; azul; rojo; naranja; la; l; blanco; color; 0.30162; 0.0387; 0.0361; 0.03381; 0.02549; 0.01864; 0.01755; 0.01138; 0.00917; 0.00867
deporte; deporte; mujer; hombre; .; vida; la; . . .; persona; deportes; deportista; 0.10445; 0.0987; 0.05436; 0.01827; 0.01728; 0.01548; 0.01111; 0.0088; 0.00789; 0.00712
fiel; fiel; mujer; infiel; amado; ella; enamorado; leal; la; hombre; amante; 0.37544; 0.02167; 0.01701; 0.01121; 0.01076; 0.01014; 0.01013; 0.00911; 0.00803; 0.00758
abogada; mujer; abogada; abogado; hombre; la; .; una; un; . . .; puta; 0.12009; 0.09685; 0.08013; 0.02555; 0.01908; 0.01607; 0.01454; 0.01321; 0.01138; 0.00817
amor; amor; mujer; vida; hombre; la; mi; sexo; amar; verdad; corazón; 0.12054; 0.11161; 0.04017; 0.02251; 0.01982; 0.01519; 0.01517; 0.01343; 0.01115; 0.01102
homosexual; mujer; hombre; homosexual; lesbiana; gay; transexual; .; . . .; l; la; 0.12345; 0.07543; 0.0513; 0.04159; 0.0285; 0.0161; 0.0089; 0.00783; 0.00776; 0.0072
pasatiempo; mujer; hombre; placer; amor; persona; tiempo; vida; sexo; moda; la; 0.10727; 0.064; 0.01379; 0.01349; 0.01147; 0.01124; 0.01028; 0.00907; 0.00872; 0.00692
regalo; regalo; .; mujer; amor; hombre; la; . . .; regalar; un; vida; 0.1783; 0.02192; 0.01872; 0.01735; 0.01567; 0.01562; 0.0134; 0.01316; 0.00826; 0.00754
vicio; vicio; amor; vida; placer; la; muerte; sexo; Dios; mujer; puta; 0.0582; 0.04771; 0.03697; 0.02711; 0.02437; 0.01639; 0.01411; 0.01326; 0.01214; 0.01009
droga; droga; mujer; la; hombre; puta; vida; sexo; . . .; .; amor; 0.08877; 0.0481; 0.02618; 0.02385; 0.02017; 0.01873; 0.01412; 0.01279; 0.00965; 0.00873
adicciÃ³n; mujer; la; .; amor; hombre; placer; . . .; l; una; sexo; 0.06566; 0.05969; 0.05793; 0.03644; 0.0248; 0.01893; 0.01373; 0.00924; 0.00878; 0.00872
prioridad; .; mujer; ser; la; que; l;:; mi; vida; hombre; 0.06301; 0.03235; 0.031; 0.01902; 0.01391; 0.01297; 0.00982; 0.00818; 0.00786; 0.00713
objeto; mujer; hombre; objeto; persona; sujeto; cuerpo; máquina; .; imagen; palabra; 0.28382; 0.12756; 0.04306; 0.01957; 0.01427; 0.01201; 0.00758; 0.00729; 0.00669; 0.0062
arte; mujer; arte; hombre; vida; la; amor; . . .; .; artista; belleza; 0.13896; 0.0691; 0.05594; 0.02454; 0.01499; 0.01457; 0.01216; 0.01173; 0.01141; 0.01088
vida; vida; mujer; Vida; amor; muerte; persona; historia; tierra; hombre; palabra; 0.54164; 0.05572; 0.01641; 0.01288; 0.01275; 0.00834; 0.00797; 0.00651; 0.00649; 0.00534
vivir; vivir; morir; amar; vida; ser; la; soñar; pensar; nacer; muerte; 0.44787; 0.1186; 0.03742; 0.02884; 0.02184; 0.01236; 0.0085; 0.00809; 0.00708; 0.00599
jugar; jugar; amar; divertirse; la; pensar; vivir; ser; . . .; aprender; ganar; 0.25819; 0.02503; 0.02123; 0.01963; 0.01939; 0.01398; 0.01276; 0.0126; 0.01249; 0.01245
cocinar; cocinar; la; . . .; comer; cocina; casa; amar; hombre; .; los; 0.20593; 0.03126; 0.02843; 0.02086; 0.01718; 0.01577; 0.01483; 0.00816; 0.00763; 0.00747
