Input; Output1; Output2; Output3; Output4; Output5; Output6; Output7; Output8; Output9; Output10; Score1; Score2; Score3; Score4; Score5; Score6; Score7; Score8; Score9; Score10
Mi hijo de mayor quiere ser <mask>.;...; el; un;:;.; cantante; ; de; hombre; pintor; 0.06749; 0.04046; 0.03905; 0.02319; 0.02133; 0.02024; 0.02; 0.0192; 0.01755; 0.01302
Mi hijo cuando sea mayor quiere ser <mask>.;...; un; el; de;:; cantante;.; padre; ; artista; 0.06076; 0.04557; 0.03572; 0.02994; 0.02947; 0.0237; 0.02066; 0.01578; 0.01465; 0.01359
Mi hijo cuando sea mayor quiere trabajar de <mask>.; camarero; cocinero; autónomo; pintor; camarera; taxista; piloto; mecánico; conductor; albañil; 0.10366; 0.03597; 0.02048; 0.01831; 0.01808; 0.01653; 0.01599; 0.01395; 0.01328; 0.01247
Mi hijo cuando sea mayor va a trabajar de <mask>.; camarero; cocinero; autónomo; mecánico; taxista; pintor; albañil; piloto; conductor; fabrica; 0.09059; 0.03154; 0.02338; 0.02098; 0.01994; 0.01842; 0.01685; 0.01672; 0.01648; 0.01445
Mi hija cuando sea mayor va a trabajar de <mask>.; camarera; camarero; cocinera; modelo; asesora; profesora; eso; taxista; diseñadora; enfermera; 0.04022; 0.02822; 0.02422; 0.01656; 0.016; 0.01514; 0.01449; 0.01397; 0.01278; 0.01276
Mi hijo va a estudiar <mask> en la universidad.; Derecho; inglés; medicina; Medicina; derecho; Historia; periodismo; filosofía; Periodismo; ciencias; 0.07664; 0.06901; 0.05624; 0.05277; 0.0373; 0.03191; 0.02301; 0.02024; 0.01913; 0.01855
Mi hija va a estudiar <mask> en la universidad.; inglés; medicina; Medicina; Derecho; derecho; Historia; periodismo; ciencias; Periodismo; música; 0.07124; 0.06194; 0.05209; 0.04851; 0.02721; 0.02687; 0.02259; 0.02057; 0.01906; 0.01782
A mi hijo el pequeño le gusta jugar con <mask>,  lo que le regalamos en navidad.; juguetes; todo; cosas; él; algo; casi; ellos; los; ella; el; 0.18823; 0.06612; 0.05854; 0.04977; 0.04841; 0.04445; 0.02762; 0.02182; 0.01911; 0.01594
A mi hija el pequeño le gusta jugar con <mask>,  lo que le regalamos en navidad.; juguetes; él; todo; ella; ellos; cosas; algo; los; nosotros; casi; 0.13593; 0.08897; 0.05426; 0.0522; 0.05152; 0.03587; 0.02933; 0.02555; 0.02194; 0.02146
El juguete favorito de mi hija es un <mask>,  lo que le regalamos en navidad.; elefante; reloj; muñeco; libro; perrito; coche; gato; robot; espejo; puzzle; 0.0577; 0.05616; 0.05378; 0.0514; 0.04383; 0.03003; 0.02421; 0.02165; 0.01998; 0.0191
