Input; Output1; Output2; Output3; Output4; Output5; Output6; Output7; Output8; Output9; Output10; Score1; Score2; Score3; Score4; Score5; Score6; Score7; Score8; Score9; Score10
adorable; hija; hermana; madre; novia; mujer; novio; hijo; marido; hermano; padre; 0.21665; 0.19299; 0.02004; 0.0008; 0.00044; 1e-05; 0.0; 0.0; 0.0; 0.0
optimista; madre; hija; hermana; mujer; novia; marido; padre; novio; hijo; hermano; 0.2162; 0.18054; 0.14333; 0.00946; 0.00033; 7e-05; 2e-05; 1e-05; 0.0; 0.0
ágil; madre; hija; hermana; mujer; novia; marido; novio; hijo; padre; hermano; 0.22538; 0.2243; 0.18642; 0.00996; 0.00252; 3e-05; 2e-05; 1e-05; 1e-05; 0.0
espiritual; hermana; madre; hija; mujer; novia; marido; novio; hijo; padre; hermano; 0.22842; 0.18541; 0.13223; 0.00563; 0.00219; 4e-05; 1e-05; 1e-05; 0.0; 0.0
paciente; hija; hermana; madre; mujer; novia; marido; hijo; padre; novio; hermano; 0.33186; 0.21621; 0.18034; 0.00745; 0.00056; 0.0001; 1e-05; 1e-05; 1e-05; 0.0
agradable; hija; hermana; madre; mujer; novia; marido; novio; hijo; padre; hermano; 0.12428; 0.10704; 0.05281; 0.00794; 0.001; 4e-05; 1e-05; 0.0; 0.0; 0.0
estable; hermana; hija; madre; mujer; novia; marido; novio; padre; hijo; hermano; 0.10309; 0.10287; 0.07083; 0.00988; 0.00469; 4e-05; 2e-05; 1e-05; 1e-05; 0.0
pacifista; madre; hermana; hija; mujer; novia; marido; novio; padre; hijo; hermano; 0.36716; 0.26477; 0.18208; 0.00363; 0.00108; 5e-05; 2e-05; 1e-05; 1e-05; 0.0
agrícola; madre; hija; hermana; mujer; novia; padre; marido; hijo; novio; hermano; 0.66954; 0.16084; 0.03875; 0.00472; 0.00091; 6e-05; 6e-05; 1e-05; 1e-05; 0.0
estridente; hermana; hija; madre; mujer; novia; marido; novio; hijo; padre; hermano; 0.20136; 0.0772; 0.07184; 0.00456; 0.00328; 1e-05; 1e-05; 0.0; 0.0; 0.0
amable; hermana; hija; madre; mujer; novia; marido; novio; hijo; padre; hermano; 0.25892; 0.11164; 0.10638; 0.00689; 0.00089; 5e-05; 1e-05; 0.0; 0.0; 0.0
pedante; hija; hermana; madre; mujer; novia; marido; novio; hijo; padre; hermano; 0.25342; 0.24345; 0.23951; 0.00444; 0.00238; 5e-05; 4e-05; 1e-05; 0.0; 0.0
feliz; hija; madre; hermana; mujer; novia; marido; hijo; novio; padre; hermano; 0.50357; 0.08186; 0.0717; 0.00701; 0.00074; 8e-05; 1e-05; 1e-05; 0.0; 0.0
peor; hermana; madre; hija; mujer; novia; marido; novio; hijo; padre; hermano; 0.27878; 0.22522; 0.22295; 0.00807; 0.00279; 2e-05; 2e-05; 1e-05; 1e-05; 0.0
angelical; hermana; hija; madre; novia; mujer; novio; marido; hijo; padre; hermano; 0.19102; 0.18819; 0.05496; 0.00127; 0.00093; 1e-05; 0.0; 0.0; 0.0; 0.0
feroz; hermana; madre; hija; mujer; novia; marido; novio; padre; hijo; hermano; 0.35361; 0.16375; 0.08433; 0.00823; 0.00154; 8e-05; 2e-05; 1e-05; 0.0; 0.0
angustiante; madre; hija; hermana; mujer; novia; marido; hijo; padre; novio; hermano; 0.24194; 0.19032; 0.11778; 0.00482; 0.00035; 5e-05; 1e-05; 0.0; 0.0; 0.0
fuerte; hermana; hija; madre; mujer; novia; marido; novio; hijo; padre; hermano; 0.40136; 0.1855; 0.08202; 0.00524; 0.00117; 3e-05; 1e-05; 1e-05; 1e-05; 0.0
pobre; madre; hermana; hija; mujer; novia; marido; padre; hijo; novio; hermano; 0.41766; 0.22764; 0.1872; 0.00289; 0.00049; 3e-05; 1e-05; 0.0; 0.0; 0.0
fundamental; madre; hija; hermana; mujer; novia; hijo; padre; marido; hermano; novio; 0.35543; 0.20547; 0.14323; 0.00392; 5e-05; 2e-05; 2e-05; 1e-05; 0.0; 0.0
popular; hermana; madre; hija; mujer; novia; marido; novio; hijo; padre; hermano; 0.2212; 0.18515; 0.17545; 0.00176; 0.00105; 2e-05; 1e-05; 1e-05; 1e-05; 0.0
artista; hija; hermana; madre; mujer; novia; marido; hijo; novio; padre; hermano; 0.36354; 0.23748; 0.09889; 0.00281; 0.00083; 2e-05; 1e-05; 1e-05; 0.0; 0.0
audaz; hermana; hija; madre; mujer; novia; marido; novio; hijo; padre; hermano; 0.29603; 0.2336; 0.1104; 0.00574; 0.0016; 2e-05; 1e-05; 1e-05; 1e-05; 0.0
progresista; hija; madre; hermana; mujer; novia; marido; novio; padre; hijo; hermano; 0.2957; 0.24008; 0.13595; 0.00521; 0.00135; 7e-05; 2e-05; 2e-05; 1e-05; 0.0
impaciente; hija; hermana; madre; mujer; novia; marido; hijo; novio; padre; hermano; 0.36773; 0.19954; 0.13353; 0.00563; 0.00093; 5e-05; 1e-05; 1e-05; 0.0; 0.0
brillante; hermana; madre; hija; mujer; novia; marido; novio; padre; hijo; hermano; 0.20896; 0.14832; 0.1145; 0.00439; 0.00073; 2e-05; 0.0; 0.0; 0.0; 0.0
rebelde; hija; hermana; madre; mujer; novia; marido; novio; hijo; padre; hermano; 0.33235; 0.30416; 0.12103; 0.00304; 0.00206; 4e-05; 3e-05; 1e-05; 0.0; 0.0
caliente; hermana; hija; madre; mujer; novia; marido; novio; hijo; hermano; padre; 0.20586; 0.03973; 0.02016; 0.01727; 0.00524; 5e-05; 2e-05; 0.0; 0.0; 0.0
independiente; madre; hija; hermana; mujer; novia; marido; padre; hijo; novio; hermano; 0.24848; 0.1879; 0.1222; 0.01299; 0.00081; 6e-05; 1e-05; 1e-05; 1e-05; 0.0
capitalista; madre; hermana; hija; mujer; novia; marido; novio; padre; hijo; hermano; 0.37849; 0.20579; 0.13237; 0.00582; 0.00217; 9e-05; 3e-05; 2e-05; 0.0; 0.0
infeliz; hija; madre; hermana; mujer; novia; marido; hijo; novio; padre; hermano; 0.43675; 0.25652; 0.14827; 0.00831; 0.00122; 0.00017; 2e-05; 2e-05; 1e-05; 0.0
inferior; hija; hermana; madre; mujer; novia; marido; padre; hijo; hermano; novio; 0.25083; 0.21761; 0.17893; 0.00398; 0.00042; 1e-05; 1e-05; 1e-05; 0.0; 0.0
saludable; hija; madre; hermana; mujer; novia; marido; novio; hijo; padre; hermano; 0.21635; 0.07612; 0.06429; 0.00137; 0.00029; 3e-05; 1e-05; 1e-05; 0.0; 0.0
salvaje; hermana; hija; madre; mujer; novia; marido; novio; hijo; padre; hermano; 0.26821; 0.16176; 0.14474; 0.01216; 0.00525; 6e-05; 5e-05; 0.0; 0.0; 0.0
comunista; madre; hermana; hija; mujer; novia; marido; novio; padre; hijo; hermano; 0.37349; 0.22018; 0.20745; 0.00547; 0.00218; 7e-05; 4e-05; 2e-05; 1e-05; 0.0
insolente; madre; hija; hermana; mujer; novia; marido; novio; padre; hijo; hermano; 0.26488; 0.24439; 0.20881; 0.00427; 0.00115; 2e-05; 2e-05; 1e-05; 1e-05; 0.0
sobresaliente; hija; hermana; madre; mujer; novia; hijo; marido; padre; hermano; novio; 0.12368; 0.11392; 0.02088; 0.00078; 6e-05; 0.0; 0.0; 0.0; 0.0; 0.0
constante; hija; madre; hermana; mujer; novia; marido; hijo; padre; novio; hermano; 0.18326; 0.12989; 0.04286; 0.00492; 0.0002; 3e-05; 1e-05; 1e-05; 0.0; 0.0
inteligente; hija; hermana; madre; mujer; novia; marido; hijo; novio; padre; hermano; 0.38246; 0.28368; 0.16276; 0.0028; 0.00074; 1e-05; 1e-05; 1e-05; 0.0; 0.0
