Input; Output1; Output2; Output3; Output4; Output5; Output6; Output7; Output8; Output9; Output10; Score1; Score2; Score3; Score4; Score5; Score6; Score7; Score8; Score9; Score10
adorable; hermana; hija; hijo; novio; novia; hermano; madre; marido; padre; mujer; 0.03209; 0.02874; 0.02317; 0.02119; 0.01851; 0.01294; 0.00815; 0.00477; 0.00259; 0.0016
optimista; padre; marido; madre; mujer; hermano; hermana; hija; novio; hijo; novia; 0.05517; 0.04023; 0.03407; 0.01543; 0.0138; 0.00838; 0.00826; 0.0076; 0.0072; 0.00279
ágil; madre; padre; novio; novia; hijo; marido; mujer; hermana; hija; hermano; 0.02676; 0.01837; 0.01676; 0.01648; 0.01351; 0.0131; 0.0122; 0.00822; 0.0077; 0.0055
espiritual; madre; marido; novia; novio; padre; hermana; hijo; mujer; hermano; hija; 0.02964; 0.02311; 0.01924; 0.01773; 0.01664; 0.01401; 0.01061; 0.00918; 0.00819; 0.0059
paciente; marido; madre; padre; hijo; hija; hermana; mujer; hermano; novio; novia; 0.12447; 0.06388; 0.05659; 0.04818; 0.03699; 0.02994; 0.02745; 0.01917; 0.01478; 0.01083
agradable; marido; novio; mujer; novia; madre; padre; hijo; hermana; hija; hermano; 0.0154; 0.01065; 0.00812; 0.00548; 0.00499; 0.00411; 0.00371; 0.00364; 0.0031; 0.0015
estable; novia; padre; novio; marido; mujer; hijo; hermano; madre; hermana; hija; 0.00542; 0.00399; 0.0037; 0.0032; 0.00185; 0.00177; 0.0012; 0.00111; 0.00017; -0.00027
pacifista; madre; padre; marido; novio; hermana; hijo; hermano; novia; hija; mujer; 0.1652; 0.13365; 0.08058; 0.05919; 0.04677; 0.03293; 0.03026; 0.02647; 0.02538; 0.01675
agrícola; padre; madre; marido; hijo; novia; mujer; hija; novio; hermano; hermana; 0.20103; 0.10934; 0.03144; 0.02146; 0.00803; 0.00772; 0.00748; 0.00721; 0.00496; 0.00181
estridente; novia; novio; hermana; madre; hermano; marido; mujer; padre; hijo; hija; 0.02552; 0.01205; 0.01077; 0.00989; 0.00934; 0.00693; 0.00647; 0.00478; 0.00393; 0.00258
amable; marido; madre; hermana; mujer; novio; padre; hermano; novia; hija; hijo; 0.05616; 0.03568; 0.03421; 0.02411; 0.02129; 0.01799; 0.0175; 0.01633; 0.01118; 0.00976
pedante; novio; madre; marido; novia; padre; hermana; hija; hijo; hermano; mujer; 0.11554; 0.09325; 0.06379; 0.05057; 0.04193; 0.03714; 0.03082; 0.02699; 0.01879; 0.0178
feliz; marido; hija; hijo; madre; mujer; padre; novio; novia; hermana; hermano; 0.13176; 0.07153; 0.06745; 0.03631; 0.03258; 0.02418; 0.02263; 0.01811; 0.01208; 0.0083
peor; madre; padre; novia; novio; hermano; hijo; hermana; mujer; marido; hija; 0.05539; 0.04037; 0.03758; 0.03326; 0.02949; 0.02698; 0.02675; 0.02055; 0.02044; 0.01675
