Input; Output1; Output2; Output3; Output4; Output5; Output6; Output7; Output8; Output9; Output10; Score1; Score2; Score3; Score4; Score5; Score6; Score7; Score8; Score9; Score10
adorable; hermana; hijo; novio; hija; novia; hermano; marido; madre; padre; mujer; 0.02567; 0.02354; 0.02155; 0.01994; 0.0177; 0.01334; 0.00506; 0.00443; 0.00298; -0.00184
optimista; padre; marido; madre; hermano; mujer; novio; hijo; novia; hermana; hija; 0.05556; 0.04053; 0.03035; 0.0142; 0.01198; 0.00795; 0.00757; 0.00197; 0.00196; -0.00053
ágil; madre; padre; novio; novia; hijo; marido; mujer; hermano; hermana; hija; 0.02303; 0.01876; 0.01711; 0.01566; 0.01389; 0.0134; 0.00876; 0.0059; 0.00181; -0.0011
espiritual; madre; marido; novia; novio; padre; hijo; hermano; hermana; mujer; hija; 0.02592; 0.02341; 0.01842; 0.01808; 0.01703; 0.01098; 0.00859; 0.0076; 0.00574; -0.0029
paciente; marido; madre; padre; hijo; hija; mujer; hermana; hermano; novio; novia; 0.12476; 0.06016; 0.05698; 0.04855; 0.0282; 0.02401; 0.02352; 0.01958; 0.01513; 0.01002
agradable; marido; novio; mujer; novia; padre; hijo; hermano; madre; hermana; hija; 0.01569; 0.011; 0.00468; 0.00467; 0.0045; 0.00408; 0.0019; 0.00126; -0.00277; -0.00569
estable; novia; padre; novio; marido; hijo; hermano; mujer; madre; hermana; hija; 0.00461; 0.00438; 0.00405; 0.0035; 0.00214; 0.0016; -0.00159; -0.00261; -0.00624; -0.00906
pacifista; madre; padre; marido; novio; hermana; hijo; hermano; novia; hija; mujer; 0.16147; 0.13404; 0.08087; 0.05954; 0.04036; 0.0333; 0.03066; 0.02566; 0.01658; 0.01331
agrícola; padre; madre; marido; hijo; novio; novia; hermano; mujer; hija; hermana; 0.20142; 0.10562; 0.03173; 0.02184; 0.00756; 0.00722; 0.00536; 0.00428; -0.00131; -0.0046
estridente; novia; novio; hermano; marido; madre; padre; hermana; hijo; mujer; hija; 0.0247; 0.0124; 0.00974; 0.00723; 0.00617; 0.00517; 0.00436; 0.00431; 0.00303; -0.00622
amable; marido; madre; hermana; novio; mujer; padre; hermano; novia; hijo; hija; 0.05645; 0.03195; 0.0278; 0.02164; 0.02067; 0.01838; 0.0179; 0.01551; 0.01013; 0.00238
pedante; novio; madre; marido; novia; padre; hermana; hijo; hija; hermano; mujer; 0.11589; 0.08952; 0.06409; 0.04975; 0.04232; 0.03073; 0.02736; 0.02203; 0.01919; 0.01435
feliz; marido; hijo; hija; madre; mujer; padre; novio; novia; hermano; hermana; 0.13206; 0.06782; 0.06273; 0.03259; 0.02914; 0.02458; 0.02298; 0.0173; 0.0087; 0.00567
peor; madre; padre; novia; novio; hermano; hijo; marido; hermana; mujer; hija; 0.05166; 0.04076; 0.03676; 0.03361; 0.0299; 0.02735; 0.02073; 0.02033; 0.01711; 0.00795
angelical; novio; novia; hermana; madre; hijo; hermano; padre; hija; marido; mujer; 0.02151; 0.01896; 0.01465; 0.01162; 0.01131; 0.01048; 0.00813; 0.00754; 0.00518; -0.00105
feroz; marido; novio; madre; hermano; padre; hermana; novia; mujer; hijo; hija; 0.05187; 0.03205; 0.02518; 0.02449; 0.02125; 0.01804; 0.01407; 0.01162; 0.00609; -0.00493
angustiante; madre; marido; padre; hijo; hermano; novio; novia; mujer; hermana; hija; 0.01416; 0.01252; 0.0076; 0.00479; 0.00163; 0.00154; 0.00053;-1,00E-05; -0.00358; -0.00515
fuerte; hijo; novio; hermano; padre; marido; hermana; novia; madre; mujer; hija; 0.01363; 0.01199; 0.01173; 0.01149; 0.01016; 0.00913; 0.00559; 0.00422; 0.00176; -0.00371
pobre; madre; padre; marido; hermano; hermana; hijo; novio; hija; novia; mujer; 0.10906; 0.04401; 0.03217; 0.02054; 0.0174; 0.01517; 0.00664; 0.00651; 0.00632; 0.00439
fundamental; padre; madre; hijo; hermano; marido; novio; mujer; novia; hermana; hija; 0.03063; 0.02462; 0.01706; 0.00685; 0.00253; 0.00059; -0.0005; -0.00069; -0.00252; -0.00444
popular; madre; padre; hijo; marido; hermano; novio; novia; hermana; hija; mujer; 0.03289; 0.02698; 0.01491; 0.01474; 0.01415; 0.01396; 0.01056; 0.01046; 0.00149; -0.00015
