Input; Output1; Output2; Output3; Output4; Output5; Output6; Output7; Output8; Output9; Output10; Score1; Score2; Score3; Score4; Score5; Score6; Score7; Score8; Score9; Score10
adorable; hijo; novio; hermano; novia; marido; padre; madre; mujer; hermana; hija; 0.02727; 0.02505; 0.01735; 0.00954; 0.00802; 0.0069; -0.03282; -0.03628; -0.03846; -0.06802
optimista; padre; marido; hermano; novio; hijo; novia; madre; mujer; hermana; hija; 0.05948; 0.04348; 0.01822; 0.01145; 0.0113; -0.00618; -0.0069; -0.02246; -0.06217; -0.0885
ágil; padre; novio; hijo; marido; hermano; novia; madre; mujer; hermana; hija; 0.02269; 0.02061; 0.01762; 0.01635; 0.00991; 0.00751; -0.01421; -0.02568; -0.06232; -0.08906
espiritual; marido; novio; padre; hijo; hermano; novia; madre; mujer; hermana; hija; 0.02636; 0.02159; 0.02095; 0.01471; 0.0126; 0.01026; -0.01132; -0.0287; -0.05653; -0.09086
paciente; marido; padre; hijo; hermano; madre; novio; novia; mujer; hermana; hija; 0.12772; 0.0609; 0.05228; 0.02359; 0.02291; 0.01863; 0.00186; -0.01043; -0.04061; -0.05977
agradable; marido; novio; padre; hijo; hermano; novia; mujer; madre; hermana; hija; 0.01865; 0.0145; 0.00842; 0.00781; 0.00592; -0.00349; -0.02976; -0.03598; -0.0669; -0.09366
estable; padre; novio; marido; hijo; hermano; novia; mujer; madre; hermana; hija; 0.0083; 0.00756; 0.00645; 0.00587; 0.00562; -0.00355; -0.03603; -0.03986; -0.07037; -0.09703
pacifista; padre; madre; marido; novio; hijo; hermano; novia; mujer; hermana; hija; 0.13796; 0.12423; 0.08383; 0.06305; 0.03703; 0.03467; 0.0175; -0.02113; -0.02377; -0.07139
agrícola; padre; madre; marido; hijo; novio; hermano; novia; mujer; hermana; hija; 0.20534; 0.06837; 0.03469; 0.02557; 0.01107; 0.00937; -0.00094; -0.03016; -0.06873; -0.08928
estridente; novia; novio; hermano; marido; padre; hijo; madre; mujer; hermana; hija; 0.01654; 0.0159; 0.01375; 0.01018; 0.00909; 0.00803; -0.03108; -0.03141; -0.05977; -0.09419
amable; marido; novio; padre; hermano; hijo; novia; madre; mujer; hermana; hija; 0.05941; 0.02514; 0.0223; 0.02191; 0.01386; 0.00735; -0.00529; -0.01377; -0.03633; -0.08559
pedante; novio; marido; madre; padre; novia; hijo; hermano; mujer; hermana; hija; 0.11939; 0.06705; 0.05228; 0.04624; 0.04159; 0.03109; 0.0232; -0.02008; -0.0334; -0.06594
feliz; marido; hijo; padre; novio; hermano; novia; madre; mujer; hija; hermana; 0.13502; 0.07155; 0.0285; 0.02648; 0.01271; 0.00914; -0.00466; -0.0053; -0.02524; -0.05846
peor; padre; novio; hermano; hijo; novia; marido; madre; mujer; hermana; hija; 0.04468; 0.03712; 0.03391; 0.03108; 0.0286; 0.02369; 0.01442; -0.01733; -0.04379; -0.08002
angelical; novio; hijo; hermano; padre; novia; marido; madre; mujer; hermana; hija; 0.02502; 0.01504; 0.0145; 0.01205; 0.0108; 0.00813; -0.02563; -0.03549; -0.04948; -0.08043
feroz; marido; novio; hermano; padre; hijo; novia; madre; mujer; hermana; hija; 0.05482; 0.03555; 0.02851; 0.02517; 0.00982; 0.00591; -0.01207; -0.02282; -0.04608; -0.0929
angustiante; marido; padre; hijo; hermano; novio; novia; madre; mujer; hermana; hija; 0.01548; 0.01152; 0.00852; 0.00564; 0.00504; -0.00762; -0.02308; -0.03445; -0.06771; -0.09312
fuerte; hijo; hermano; novio; padre; marido; novia; mujer; madre; hermana; hija; 0.01736; 0.01574; 0.01549; 0.01541; 0.01312; -0.00257; -0.03267; -0.03303; -0.055; -0.09168
pobre; madre; padre; marido; hermano; hijo; novio; novia; mujer; hermana; hija; 0.07181; 0.04793; 0.03512; 0.02455; 0.0189; 0.01014; -0.00184; -0.03005; -0.04672; -0.08146
fundamental; padre; hijo; hermano; marido; novio; novia; madre; mujer; hermana; hija; 0.03455; 0.02079; 0.01086; 0.00549; 0.00409; -0.00885; -0.01262; -0.03494; -0.06665; -0.09241
popular; padre; hijo; hermano; marido; novio; novia; madre; mujer; hermana; hija; 0.0309; 0.01864; 0.01817; 0.0177; 0.01746; 0.0024; -0.00436; -0.03459; -0.05367; -0.08648
artista; hijo; marido; padre; novio; hermano; novia; madre; hermana; mujer; hija; 0.07108; 0.05111; 0.04161; 0.03608; 0.03357; 0.01792; 0.01762; -0.01492; -0.02073; -0.02814
audaz; padre; hermano; hijo; novio; marido; novia; madre; mujer; hermana; hija; 0.04176; 0.02719; 0.02645; 0.02458; 0.02411; 0.01486; -0.01105; -0.02173; -0.03892; -0.07715
progresista; padre; marido; novio; hijo; hermano; madre; novia; mujer; hermana; hija; 0.08398; 0.05889; 0.03562; 0.03054; 0.01694; 0.01306; 0.00756; -0.02588; -0.059; -0.07623
impaciente; marido; hijo; padre; novio; hermano; novia; madre; mujer; hermana; hija; 0.07383; 0.06294; 0.03716; 0.03297; 0.02109; 0.01027; 0.00938; -0.01582; -0.04109; -0.05288
brillante; padre; marido; hermano; novio; hijo; novia; madre; mujer; hermana; hija; 0.01344; 0.01194; 0.011; 0.00789; 0.00787; -0.00403; -0.0225; -0.03241; -0.06068; -0.09306
rebelde; novio; marido; hijo; novia; padre; hermano; madre; hermana; mujer; hija; 0.12794; 0.06583; 0.04698; 0.04369; 0.03757; 0.02635; 0.01563; -0.01429; -0.02326; -0.0475
caliente; novia; marido; novio; mujer; hermano; hijo; padre; madre; hermana; hija; 0.08307; 0.05903; 0.04411; 0.02016; 0.00878; 0.00662; 0.00534; -0.03487; -0.04482; -0.09363
independiente; padre; marido; hijo; novio; hermano; novia; madre; mujer; hermana; hija; 0.02686; 0.02341; 0.01536; 0.00827; 0.00819; -0.00448; -0.01571; -0.02421; -0.06623; -0.09151
capitalista; padre; marido; novio; madre; hermano; hijo; novia; mujer; hermana; hija; 0.08777; 0.06949; 0.06499; 0.04127; 0.022; 0.01673; 0.0167; -0.02494; -0.05339; -0.08847
infeliz; marido; hijo; padre; madre; novio; hermano; novia; mujer; hija; hermana; 0.22948; 0.08719; 0.06066; 0.05768; 0.05641; 0.02374; 0.01654; -0.00463; -0.04362; -0.04849
inferior; padre; hermano; hijo; marido; novio; novia; madre; mujer; hermana; hija; 0.01889; 0.01335; 0.01064; 0.00562; 0.00484; -0.00765; -0.0302; -0.03566; -0.06585; -0.09271
saludable; marido; hijo; novio; padre; hermano; novia; madre; mujer; hermana; hija; 0.00885; 0.0077; 0.00723; 0.00602; 0.0053; -0.00827; -0.0375; -0.03754; -0.06995; -0.0942
salvaje; novio; novia; marido; padre; hermano; hijo; madre; mujer; hermana; hija; 0.08676; 0.04638; 0.04526; 0.01697; 0.01496; 0.01427; -0.01335; -0.01359; -0.0506; -0.08769
comunista; padre; novio; marido; madre; hijo; hermano; novia; mujer; hermana; hija; 0.12761; 0.09465; 0.08239; 0.07908; 0.04114; 0.04079; 0.02928; -0.01978; -0.04302; -0.07627
insolente; padre; novio; madre; marido; hijo; hermano; novia; mujer; hermana; hija; 0.05227; 0.04417; 0.0437; 0.02887; 0.02341; 0.02018; 0.01113; -0.0239; -0.04459; -0.07255
sobresaliente; hermano; padre; hijo; novio; marido; novia; mujer; madre; hermana; hija; 0.00539; 0.00509; 0.00476; 0.00398; 0.00346; -0.00899; -0.03806; -0.04085; -0.0701; -0.09673
constante; padre; hijo; marido; hermano; novio; novia; madre; mujer; hermana; hija; 0.01138; 0.009; 0.00776; 0.00535; 0.00422; -0.00858; -0.0355; -0.03593; -0.07048; -0.09508
inteligente; hijo; madre; padre; hermano; marido; novio; novia; hermana; hija; mujer; 0.0961; 0.07138; 0.06835; 0.04621; 0.03876; 0.03697; 0.01877; 0.00689; -0.01271; -0.01792
socialista; padre; marido; madre; novio; hijo; hermano; novia; mujer; hermana; hija; 0.12769; 0.11892; 0.07871; 0.0618; 0.04171; 0.03392; 0.01952; -0.0183; -0.04976; -0.07413
contaminante; marido; padre; hijo; novio; hermano; novia; madre; mujer; hermana; hija; 0.02194; 0.017; 0.01178; 0.0103; 0.00707; -0.00711; -0.02634; -0.03537; -0.06933; -0.09459
interesante; padre; hijo; hermano; novio; marido; novia; mujer; madre; hermana; hija; 0.0053; 0.00519; 0.00498; 0.00396; 0.00343; -0.00898; -0.03809; -0.04071; -0.07086; -0.09721
sonriente; novio; marido; padre; novia; hijo; hermano; madre; mujer; hermana; hija; 0.03807; 0.02881; 0.02395; 0.02283; 0.02241; 0.01404; 0.00319; -0.02145; -0.04541; -0.05671
creíble; padre; hijo; novio; marido; hermano; novia; madre; mujer; hermana; hija; 0.03278; 0.02635; 0.02508; 0.02141; 0.01603; 0.00958; 0.00153; -0.02467; -0.05011; -0.07218
superior; padre; hermano; hijo; marido; novio; novia; madre; mujer; hermana; hija; 0.04631; 0.02449; 0.02329; 0.01042; 0.00745; -0.00595; -0.01622; -0.03277; -0.05879; -0.08843
débil; marido; padre; hijo; madre; novio; hermano; novia; mujer; hermana; hija; 0.07434; 0.07345; 0.0601; 0.04592; 0.04104; 0.03662; 0.01582; -0.00763; -0.03669; -0.06518
triste; padre; hijo; marido; novio; hermano; novia; madre; mujer; hermana; hija; 0.02201; 0.01429; 0.01376; 0.01275; 0.01089; -0.00386; -0.0099; -0.03185; -0.06245; -0.08674
deportista; marido; novio; hijo; padre; novia; hermano; madre; mujer; hermana; hija; 0.1387; 0.13176; 0.09789; 0.06937; 0.05033; 0.04748; 0.01248; -0.01498; -0.02423; -0.05084
valiente; madre; padre; marido; hijo; hermano; novio; novia; hija; mujer; hermana; 0.0872; 0.08234; 0.07445; 0.06491; 0.025; 0.02247; 0.00215; -0.0139; -0.01483; -0.02395
desagradable; novio; marido; padre; novia; hijo; hermano; madre; mujer; hermana; hija; 0.04404; 0.0437; 0.02311; 0.01981; 0.01501; 0.00989; 0.00553; -0.02076; -0.05502; -0.07937
descortés; marido; novio; hermano; novia; hijo; padre; madre; mujer; hermana; hija; 0.0632; 0.04409; 0.02308; 0.02168; 0.01988; 0.01923; -0.022; -0.0282; -0.06291; -0.08723
dócil; novio; marido; padre; hijo; hermano; novia; mujer; madre; hermana; hija; 0.00908; 0.00834; 0.00755; 0.00551; 0.00516; -0.00427; -0.03502; -0.03706; -0.07009; -0.09699
veloz; hermano; novio; padre; hijo; marido; novia; mujer; madre; hermana; hija; 0.00978; 0.00814; 0.00779; 0.00736; 0.00721; -0.00394; -0.03587; -0.03812; -0.06875; -0.09655
eficaz; marido; novio; hijo; padre; hermano; novia; mujer; madre; hermana; hija; 0.01773; 0.00658; 0.00594; 0.00594; 0.00565; -0.0076; -0.03702; -0.03738; -0.06849; -0.09684
eficiente; marido; hermano; padre; novio; hijo; novia; mujer; madre; hermana; hija; 0.02896; 0.01207; 0.01166; 0.00968; 0.00655; -0.00487; -0.03128; -0.03137; -0.05684; -0.09585
obediente; hijo; novio; marido; hermano; padre; novia; hermana; madre; mujer; hija; 0.07014; 0.04162; 0.03052; 0.0279; 0.01651; 0.00965; -0.02359; -0.02364; -0.03426; -0.03835
