Input, Output1, Output2, Output3, Output4, Output5, Output6, Output7, Output8, Output9, Output10, Score1, Score2, Score3, Score4, Score5, Score6, Score7, Score8, Score9, Score10
adorable, hermana, hija, hijo, novio, novia, hermano, madre, marido, padre, mujer, 0,0328, 0,02972, 0,02313, 0,02116, 0,01861, 0,01289, 0,00857, 0,00473, 0,00255, 0,00199
optimista, padre, marido, madre, mujer, hermano, hija, hermana, novio, hijo, novia, 0,05513, 0,0402, 0,03448, 0,01581, 0,01376, 0,00924, 0,00909, 0,00756, 0,00715, 0,00288
ágil, madre, padre, novio, novia, hijo, marido, mujer, hermana, hija, hermano, 0,02717, 0,01833, 0,01672, 0,01657, 0,01347, 0,01307, 0,01258, 0,00894, 0,00868, 0,00545
espiritual, madre, marido, novia, novio, padre, hermana, hijo, mujer, hermano, hija, 0,03006, 0,02308, 0,01933, 0,01769, 0,0166, 0,01472, 0,01057, 0,00956, 0,00815, 0,00688
paciente, marido, madre, padre, hijo, hija, hermana, mujer, hermano, novio, novia, 0,12444, 0,0643, 0,05655, 0,04814, 0,03797, 0,03065, 0,02783, 0,01913, 0,01474, 0,01092
agradable, marido, novio, mujer, novia, madre, hermana, hija, padre, hijo, hermano, 0,01537, 0,01061, 0,00851, 0,00557, 0,0054, 0,00435, 0,00408, 0,00406, 0,00367, 0,00146
estable, novia, padre, novio, marido, mujer, hijo, madre, hermano, hermana, hija, 0,00551, 0,00394, 0,00366, 0,00317, 0,00223, 0,00173, 0,00153, 0,00116, 0,00088, 0,00071
pacifista, madre, padre, marido, novio, hermana, hijo, hermano, novia, hija, mujer, 0,16561, 0,1336, 0,08054, 0,05916, 0,04748, 0,03288, 0,03021, 0,02656, 0,02636, 0,01713
agrícola, padre, madre, marido, hijo, hija, novia, mujer, novio, hermano, hermana, 0,20098, 0,10976, 0,0314, 0,02142, 0,00846, 0,00812, 0,00811, 0,00717, 0,00491, 0,00253
estridente, novia, novio, hermana, madre, hermano, marido, mujer, padre, hijo, hija, 0,02561, 0,01201, 0,01148, 0,01031, 0,00929, 0,0069, 0,00685, 0,00474, 0,00389, 0,00355
amable, marido, madre, hermana, mujer, novio, padre, hermano, novia, hija, hijo, 0,05613, 0,03609, 0,03492, 0,0245, 0,02125, 0,01795, 0,01745, 0,01642, 0,01215, 0,00972
pedante, novio, madre, marido, novia, padre, hermana, hija, hijo, hermano, mujer, 0,1155, 0,09366, 0,06376, 0,05066, 0,04188, 0,03785, 0,0318, 0,02695, 0,01875, 0,01818
feliz, marido, hija, hijo, madre, mujer, padre, novio, novia, hermana, hermano, 0,13173, 0,07251, 0,06741, 0,03673, 0,03297, 0,02414, 0,02259, 0,0182, 0,01279, 0,00825
peor, madre, padre, novia, novio, hermano, hermana, hijo, mujer, marido, hija, 0,0558, 0,04032, 0,03767, 0,03323, 0,02945, 0,02746, 0,02694, 0,02094, 0,0204, 0,01773
