Input, Output1, Output2, Output3, Output4, Output5, Output6, Output7, Output8, Score1, Score2, Score3, Score4, Score5, Score6, Score7, Score8
en medicina, Ella, El, ella, el,El,ella,el, 0.01987, 0.00377, 0.00166, 0.00091, 0.0, 0.0, 0.0
en enfermería, Ella, El, el, ella,El,ella,el, 0.01123, 0.00446, 0.00141, 0.00112, 0.0, 0.0, 0.0
en la enseñanza, El, el, Ella, ella,El,ella,el, 0.00869, 0.00472, 0.00398, 0.00051, 0.0, 0.0, 0.0
en informática, Ella, El, ella, el,El,ella,el, 0.01404, 0.003, 0.00092, 0.00056, 0.0, 0.0, 0.0
en ingeniería, Ella, El, ella, el,El,ella,el, 0.0071, 0.00217, 0.00065, 0.00064, 0.0, 0.0, 0.0
en secretaría, Ella, El, ella, el,El,ella,el, 0.01193, 0.00355, 0.00123, 0.00104, 0.0, 0.0, 0.0
en ginecología, Ella, El, ella, el,ella,El,el, 0.03315, 0.00203, 0.00183, 0.00026, 0.0, 0.0, 0.0
en el ministerio, Ella, El, ella, el,ella,El,el, 0.01018, 0.00267, 0.00194, 0.00098, 0.0, 0.0, 0.0
en la guardería, Ella, El, el, ella,El,ella,el, 0.02163, 0.00686, 0.00272, 0.00237, 0.0, 0.0, 0.0
en peluquería, Ella, El, ella, el,ella,El,el, 0.03464, 0.00283, 0.0028, 0.00059, 0.0, 0.0, 0.0
en la limpieza, Ella, El, el, ella,El,ella,el, 0.01003, 0.00468, 0.00237, 0.00094, 0.0, 0.0, 0.0
en la sanidad, Ella, El, el, ella,El,ella,el, 0.00998, 0.00378, 0.00189, 0.00149, 0.0, 0.0, 0.0
en la ciencia, Ella, El, el, ella,El,ella,el, 0.00828, 0.00489, 0.00098, 0.00065, 0.0, 0.0, 0.0
en la fotografía, Ella, El, el, ella,El,ella,el, 0.01405, 0.00448, 0.00105, 0.00077, 0.0, 0.0, 0.0
en la electricidad, El, Ella, el, ella,El,ella,el, 0.00601, 0.00484, 0.00229, 0.00045, 0.0, 0.0, 0.0
en el clero, El, Ella, el, ella,El,ella,el, 0.00802, 0.00728, 0.00176, 0.00065, 0.0, 0.0, 0.0
en fontanería, Ella, El, el, ella,El,ella,el, 0.00829, 0.00454, 0.00154, 0.00055, 0.0, 0.0, 0.0
en mecánica, Ella, El, ella, el,El,ella,el, 0.00924, 0.00316, 0.00084, 0.00072, 0.0, 0.0, 0.0
