Input, Output1, Output2, Output3, Output4, Output5, Output6, Output7, Output8, Output9, Output10, Score1, Score2, Score3, Score4, Score5, Score6, Score7, Score8, Score9, Score10
en medicina, madre, padre, hijo, marido, hija, mujer, hermano, hermana, novia, novio, 0.09976, 0.09621, 0.08306, 0.08041, 0.06944, 0.05614, 0.03712, 0.03582, 0.01252, 0.01173
en enfermería, madre, padre, marido, hijo, hija, mujer, hermana, hermano, novio, novia, 0.18328, 0.11878, 0.1112, 0.07857, 0.07214, 0.05574, 0.04057, 0.03728, 0.01034, 0.00923
en la enseñanza, madre, padre, hijo, hija, marido, mujer, hermano, hermana, novia, novio, 0.17604, 0.12169, 0.10456, 0.07841, 0.04256, 0.02731, 0.02215, 0.02182, 0.00356, 0.00293
en informática, hija, hijo, madre, padre, marido, hermano, hermana, mujer, novia, novio, 0.07519, 0.0705, 0.06383, 0.05445, 0.04426, 0.03855, 0.03691, 0.03585, 0.01562, 0.00973
en ingeniería, padre, madre, marido, hija, hermano, mujer, hijo, hermana, novia, novio, 0.1603, 0.13413, 0.07544, 0.06289, 0.05811, 0.05663, 0.05643, 0.04705, 0.00992, 0.00867
en secretaría, madre, marido, padre, mujer, hija, hermana, hermano, hijo, novia, novio, 0.16508, 0.09089, 0.09015, 0.07617, 0.05659, 0.04634, 0.0401, 0.03047, 0.00829, 0.00683
en ginecología, madre, marido, hija, mujer, hijo, padre, hermana, hermano, novia, novio, 0.14887, 0.14073, 0.10487, 0.09867, 0.0812, 0.06375, 0.03531, 0.01797, 0.01219, 0.01066
en el ministerio, padre, madre, hija, hijo, hermano, mujer, hermana, marido, novia, novio, 0.11415, 0.11393, 0.05808, 0.0547, 0.04836, 0.04368, 0.03186, 0.02694, 0.00611, 0.00326
en la guardería, madre, hijo, padre, hija, marido, mujer, hermano, hermana, novio, novia, 0.18659, 0.15101, 0.12058, 0.10399, 0.09271, 0.0395, 0.03403, 0.03294, 0.00895, 0.00816
en peluquería, madre, marido, padre, hija, hijo, mujer, hermana, hermano, novio, novia, 0.23671, 0.11961, 0.1042, 0.0776, 0.06503, 0.06386, 0.04172, 0.02963, 0.01574, 0.01078
en la limpieza, marido, hijo, madre, hija, mujer, padre, hermano, hermana, novia, novio, 0.08426, 0.07307, 0.05422, 0.05306, 0.04069, 0.03202, 0.03098, 0.02397, 0.01592, 0.0117
en la sanidad, madre, hijo, padre, hija, mujer, marido, hermano, hermana, novia, novio, 0.13436, 0.10703, 0.09265, 0.06696, 0.04765, 0.04195, 0.02998, 0.02394, 0.00841, 0.00432
en la ciencia, madre, padre, hijo, hija, mujer, hermano, hermana, marido, novia, novio, 0.06507, 0.04836, 0.04, 0.03958, 0.03444, 0.01605, 0.01381, 0.01028, 0.00437, 0.00127
en la fotografía, madre, padre, hijo, marido, hija, hermano, mujer, hermana, novia, novio, 0.16811, 0.16478, 0.05914, 0.0514, 0.04905, 0.04441, 0.03645, 0.03334, 0.00838, 0.00719
en la electricidad, hijo, marido, madre, padre, hija, hermano, mujer, hermana, novia, novio, 0.07646, 0.07198, 0.04643, 0.0462, 0.04259, 0.03596, 0.03497, 0.02002, 0.01351, 0.00864
en el clero, madre, padre, hijo, mujer, hija, hermano, hermana, marido, novia, novio, 0.16019, 0.13321, 0.05099, 0.04921, 0.04134, 0.03958, 0.02846, 0.02217, 0.00318, 0.00173
en fontanería, marido, hijo, madre, padre, hija, hermano, mujer, hermana, novia, novio, 0.08399, 0.07832, 0.07313, 0.05864, 0.05421, 0.03867, 0.03705, 0.0284, 0.01391, 0.01131
en mecánica, madre, padre, hija, hijo, marido, hermano, hermana, mujer, novia, novio, 0.13876, 0.13463, 0.09294, 0.07946, 0.06087, 0.04786, 0.04535, 0.03894, 0.00885, 0.00739
