Input, Output1, Output2, Output3, Output4, Output5, Output6, Output7, Output8, Output9, Output10, Score1, Score2, Score3, Score4, Score5, Score6, Score7, Score8, Score9, Score10
dentista, padre, madre, marido, novio, hijo, hermana, hermano, hija, mujer, novia, 0.17711, 0.07058, 0.06715, 0.04763, 0.0383, 0.03024, 0.0259, 0.02435, 0.01866, 0.01409
logopeda, padre, madre, marido, novio, hija, hermana, hijo, mujer, hermano, novia, 0.15779, 0.09409, 0.06638, 0.05528, 0.04329, 0.04024, 0.03682, 0.01956, 0.01862, 0.01287
contable, padre, madre, hijo, hija, marido, novio, hermana, mujer, hermano, novia, 0.03615, 0.01272, 0.00889, 0.00799, 0.00612, 0.00261, 0.00228, 0.00227, 0.00199, 0.00154
electricista, padre, marido, novio, hijo, madre, hermano, hermana, hija, mujer, novia, 0.03983, 0.01897, 0.01051, 0.00576, 0.00424, 0.00415, 0.00217, 0.00207, 0.00145, 0.00117
comercial, padre, novia, hijo, hija, madre, marido, novio, hermano, hermana, mujer, 0.00084, 0.00053, 0.00052, 0.00047, 0.00045, 0.00034, 0.00025, 0.00022, 0.00019, 0.00013
albañil, padre, madre, marido, hijo, novio, hija, mujer, hermana, hermano, novia, 0.07442, 0.03102, 0.02168, 0.01194, 0.00792, 0.00736, 0.00675, 0.00663, 0.0055, 0.00205
maquinista, padre, madre, marido, hijo, hermano, mujer, hermana, hija, novio, novia, 0.26418, 0.08747, 0.04328, 0.04053, 0.03675, 0.02606, 0.02302, 0.02278, 0.02275, 0.01913
piloto, padre, madre, hijo, hermano, marido, novio, hermana, hija, novia, mujer, 0.32047, 0.06944, 0.05177, 0.04604, 0.03182, 0.03042, 0.02394, 0.01706, 0.01648, 0.01081
modelo, hija, madre, hermana, novia, hijo, padre, mujer, novio, marido, hermano, 0.12492, 0.08558, 0.05296, 0.05212, 0.04409, 0.042, 0.03122, 0.03098, 0.02084, 0.01111
fisioterapeuta, padre, marido, madre, hijo, novio, hija, hermana, mujer, hermano, novia, 0.23586, 0.11489, 0.09373, 0.04379, 0.04342, 0.02915, 0.02814, 0.02743, 0.02081, 0.01077
conserje, padre, novio, marido, madre, hijo, hermano, hermana, hija, mujer, novia, 0.06797, 0.0274, 0.02435, 0.01817, 0.01789, 0.01374, 0.01197, 0.01081, 0.00744, 0.00705
dibujante, padre, madre, hijo, hermano, marido, novio, hermana, hija, mujer, novia, 0.2758, 0.0545, 0.04165, 0.03939, 0.02512, 0.0189, 0.01784, 0.01749, 0.01338, 0.00996
agente, padre, madre, hijo, novio, marido, hermano, hermana, novia, hija, mujer, 0.04844, 0.0148, 0.01018, 0.00984, 0.00924, 0.00884, 0.00781, 0.00764, 0.00732, 0.00571
poeta, padre, madre, hijo, hermano, marido, mujer, hija, hermana, novio, novia, 0.24487, 0.11473, 0.0333, 0.03049, 0.02844, 0.02483, 0.02372, 0.01923, 0.00993, 0.00841
militar, padre, hijo, madre, hermano, novia, novio, hija, hermana, marido, mujer, 0.08519, 0.02423, 0.01625, 0.01471, 0.00874, 0.00873, 0.00741, 0.0068, 0.00602, 0.0032
mercader, padre, madre, hermano, novio, marido, hijo, hermana, novia, mujer, hija, 0.0561, 0.01577, 0.0129, 0.01154, 0.01009, 0.00958, 0.00655, 0.00546, 0.00543, 0.00365
auxiliar, hijo, padre, hija, madre, novio, hermana, marido, hermano, mujer, novia, 0.01658, 0.01625, 0.01296, 0.00894, 0.00567, 0.00561, 0.00491, 0.00357, 0.00318, 0.00203
cónsul, padre, hijo, novio, madre, novia, hermano, marido, hermana, hija, mujer, 0.00681, 0.00402, 0.00333, 0.00274, 0.00228, 0.00214, 0.00165, 0.00146, 0.00145, 0.0014
portavoz, padre, madre, mujer, hija, marido, hijo, hermano, hermana, novia, novio, 0.05315, 0.02617, 0.02073, 0.01988, 0.01327, 0.01281, 0.00846, 0.00845, 0.00639, 0.00253
chef, padre, madre, hijo, mujer, hija, marido, hermana, hermano, novio, novia, 0.10446, 0.0641, 0.03036, 0.02305, 0.02155, 0.02011, 0.0187, 0.01784, 0.00949, 0.00872
capitán, padre, madre, hijo, hermano, marido, mujer, hermana, hija, novio, novia, 0.08189, 0.04152, 0.02126, 0.01841, 0.01354, 0.01248, 0.00986, 0.00772, 0.00712, 0.00583
juez, padre, madre, hijo, hija, marido, mujer, hermano, novia, hermana, novio, 0.12121, 0.06619, 0.0657, 0.03025, 0.02637, 0.02602, 0.01034, 0.00854, 0.00715, 0.005
