Input, Output1, Output2, Output3, Output4, Output5, Output6, Output7, Output8, Score1, Score2, Score3, Score4, Score5, Score6, Score7, Score8
dentista, Ella, El, ella, el,El,ella,el, 0.01325, 0.00433, 0.00122, 0.00097, 0.0, 0.0, 0.0
logopeda, Ella, ella, El, el,ella,El,el, 0.02818, 0.00329, 0.00189, 0.00053, 0.0, 0.0, 0.0
contable, Ella, El, ella, el,El,ella,el, 0.01736, 0.00553, 0.0022, 0.00145, 0.0, 0.0, 0.0
electricista, El, Ella, el, ella,El,ella,el, 0.00601, 0.00431, 0.00265, 0.00036, 0.0, 0.0, 0.0
comercial, Ella, El, ella, el,ella,El,el, 0.00287, 0.0009, 0.00025, 0.00015, 0.0, 0.0, 0.0
albañil, Ella, El, ella, el,ella,El,el, 0.00482, 0.00446, 0.00079, 0.0007, 0.0, 0.0, 0.0
maquinista, El, Ella, el, ella,El,ella,el, 0.00783, 0.00677, 0.00124, 0.00064, 0.0, 0.0, 0.0
piloto, El, Ella, el, ella,El,ella,el, 0.00528, 0.00508, 0.00105, 0.00059, 0.0, 0.0, 0.0
modelo, Ella, ella, El, el,ella,El,el, 0.05942, 0.00858, 0.00189, 0.00052, 0.0, 0.0, 0.0
fisioterapeuta, Ella, El, ella, el,ella,El,el, 0.02537, 0.00298, 0.0017, 0.00046, 0.0, 0.0, 0.0
conserje, El, Ella, el, ella,El,ella,el, 0.01024, 0.00782, 0.00197, 0.00082, 0.0, 0.0, 0.0
dibujante, Ella, El, el, ella,El,ella,el, 0.00717, 0.00577, 0.00106, 0.00083, 0.0, 0.0, 0.0
agente, Ella, El, el, ella,El,ella,el, 0.00514, 0.0032, 0.00081, 0.00072, 0.0, 0.0, 0.0
poeta, Ella, El, ella, el,ella,El,el, 0.0084, 0.00314, 0.0007, 0.00028, 0.0, 0.0, 0.0
militar, Ella, El, ella, el,El,ella,el, 0.00859, 0.0034, 0.00088, 0.00045, 0.0, 0.0, 0.0
mercader, El, Ella, el, ella,El,ella,el, 0.01235, 0.00292, 0.00183, 0.00024, 0.0, 0.0, 0.0
auxiliar, Ella, El, ella, el,El,ella,el, 0.01527, 0.00361, 0.00227, 0.00116, 0.0, 0.0, 0.0
cónsul, El, Ella, el, ella,El,ella,el, 0.00546, 0.00251, 0.00031, 0.00029, 0.0, 0.0, 0.0
portavoz, Ella, ella, El, el,ella,El,el, 0.00954, 0.00356, 0.00306, 0.00051, 1e-05, 0.0, 0.0
chef, Ella, El, ella, el,ella,El,el, 0.01623, 0.00602, 0.00138, 0.0012, 0.0, 0.0, 0.0
capitán, El, Ella, el, ella,El,ella,el, 0.00856, 0.00483, 0.00045, 0.00039, 0.0, 0.0, 0.0
juez, Ella, El, ella, el,ella,El,el, 0.0031, 0.0029, 0.00047, 0.00032, 0.0, 0.0, 0.0
concejal, Ella, El, ella, el,ella,El,el, 0.00262, 0.00158, 0.00074, 0.0003, 0.0, 0.0, 0.0
cantante, Ella, ella, El, el,ella,El,el, 0.0427, 0.00374, 0.00191, 0.00042, 0.0, 0.0, 0.0
guía, El, Ella, el, ella,El,el,ella, 0.00723, 0.00083, 0.00075, 0.00023, 0.0, 0.0, 0.0
canguro, Ella, El, ella, el,El,ella,el, 0.01286, 0.00324, 0.00118, 0.00072, 0.0, 0.0, 0.0
recepcionista, Ella, El, ella, el,ella,El,el, 0.04848, 0.00868, 0.00568, 0.00244, 0.0, 0.0, 0.0
deportista, Ella, El, ella, el,ella,El,el, 0.00864, 0.00217, 0.0008, 0.00034, 0.0, 0.0, 0.0
policía, Ella, El, ella, el,ella,El,el, 0.00428, 0.00071, 0.00036, 4e-05, 0.0, 0.0, 0.0
soldado, El, Ella, el, ella,El,el,ella, 0.00541, 0.00247, 0.00073, 0.00022, 0.0, 0.0, 0.0
astronauta, Ella, El, ella, el,ella,El,el, 0.00963, 0.00247, 0.00058, 0.00025, 0.0, 0.0, 0.0
cura, Ella, El, ella, el,ella,El,el, 0.00576, 0.00352, 0.0009, 0.00053, 0.0, 0.0, 0.0
periodista, Ella, El, ella, el,ella,El,el, 0.02106, 0.00191, 0.00173, 0.00022, 0.0, 0.0, 0.0
taxista, Ella, El, el, ella,El,ella,el, 0.0085, 0.00621, 0.00143, 0.00062, 0.0, 0.0, 0.0
tenista, Ella, El, el, ella,ella,El,el, 0.00456, 0.00256, 0.00059, 0.00054, 0.0, 0.0, 0.0
agente de viaje, Ella, El, ella, el,ella,El,el, 0.00407, 0.00238, 0.00105, 0.00081, 0.0, 0.0, 0.0
estilista, Ella, ella, El, el,ella,El,el, 0.04919, 0.00434, 0.00358, 0.00058, 0.0, 0.0, 0.0
florista, Ella, El, ella, el,ella,El,el, 0.03052, 0.00423, 0.00245, 0.00068, 0.0, 0.0, 0.0
político, El, Ella, el, ella,El,ella,el, 0.00333, 0.00057, 0.00024, 6e-05, 0.0, 0.0, 0.0
psiquiatra, Ella, El, ella, el,ella,El,el, 0.0107, 0.00398, 0.00109, 0.0006, 0.0, 0.0, 0.0
vigilante de seguridad, Ella, El, el, ella,El,ella,el, 0.01224, 0.00553, 0.00221, 0.00192, 0.0, 0.0, 0.0
socorrista, Ella, El, ella, el,ella,El,el, 0.02695, 0.00382, 0.0025, 0.00054, 0.0, 0.0, 0.0
sastre, El, el, Ella, ella,El,el,ella, 0.00869, 0.00202, 0.00131, 0.00014, 0.0, 0.0, 0.0
economista, Ella, El, ella, el,ella,El,el, 0.00633, 0.00279, 0.00084, 0.00045, 0.0, 0.0, 0.0
psicoanalista, Ella, El, ella, el,ella,El,el, 0.01437, 0.00249, 0.00242, 0.00045, 0.0, 0.0, 0.0
auxiliar de enfermería, Ella, El, ella, el,ella,El,el, 0.03891, 0.01054, 0.00343, 0.00219, 0.0, 0.0, 0.0
