Input; Output1; Output2; Output3; Output4; Output5; Output6; Output7; Output8; Output9; Output10; Score1; Score2; Score3; Score4; Score5; Score6; Score7; Score8; Score9; Score10; Score11; Score12;;;
en medicina; madre; marido; padre; hijo; mujer; hermana; hermano; hija; novia; novio; 0.16892; 0.13662; 0.1074; 0.08433; 0.08396; 0.06073; 0.04065; 0.03837; 0.01887; 0.01402;29;26;; padre; madre
en enfermería; marido; hijo; madre; padre; mujer; hija; hermana; hermano; novio; novia; 0.1621; 0.1614; 0.14203; 0.0939; 0.08727; 0.0459; 0.03059; 0.02272; 0.01622; 0.01356;31;24;; hijo; hija
en la enseñanza; padre; hijo; madre; hija; marido; mujer; hermana; hermano; novio; novia; 0.23825; 0.21824; 0.13527; 0.07964; 0.042; 0.0351; 0.02374; 0.0213; 0.00145; 0.00097;30;25;; hermano; hermana
en informática; hijo; padre; marido; madre; mujer; hija; hermana; hermano; novia; novio; 0.2102; 0.13573; 0.12451; 0.0912; 0.06611; 0.05383; 0.0407; 0.03971; 0.01034; 0.00985;31;24;; marido; mujer
en ingeniería; hijo; padre; marido; madre; mujer; hija; hermano; hermana; novia; novio; 0.18296; 0.17722; 0.10571; 0.0955; 0.06669; 0.04489; 0.0432; 0.03372; 0.01241; 0.01006;32;23;; novio; novia
en secretaría; marido; mujer; madre; hijo; padre; hermana; hija; hermano; novio; novia; 0.14731; 0.12755; 0.10891; 0.1019; 0.09628; 0.06605; 0.05246; 0.04335; 0.01827; 0.01526;28;27;;;
en ginecología; madre; marido; mujer; padre; hijo; hermana; hija; novio; hermano; novia; 0.23578; 0.13779; 0.13087; 0.08845; 0.06073; 0.0415; 0.03401; 0.01536; 0.0135; 0.01245;27;28;;;
en el ministerio; mujer; marido; madre; padre; hijo; hermano; hermana; hija; novia; novio; 0.12094; 0.11447; 0.10142; 0.08513; 0.0704; 0.06743; 0.04888; 0.0353; 0.02336; 0.02245;28;27;;;
en la guardería; hijo; madre; hija; padre; marido; hermana; hermano; mujer; novio; novia; 0.34724; 0.14517; 0.13297; 0.06609; 0.05187; 0.03101; 0.02784; 0.02301; 0.00573; 0.00341;29;26;;;
en peluquería; madre; marido; hijo; mujer; padre; hija; hermana; novio; hermano; novia; 0.2196; 0.16068; 0.08626; 0.07822; 0.06558; 0.05569; 0.05421; 0.02318; 0.02137; 0.02035;28;27;;;
en la limpieza; marido; madre; mujer; hijo; padre; hermana; hija; hermano; novia; novio; 0.14305; 0.14232; 0.12369; 0.10515; 0.07948; 0.05609; 0.0418; 0.02917; 0.01821; 0.01537;27;28;;;
en la sanidad; madre; marido; padre; mujer; hijo; hermana; hermano; hija; novia; novio; 0.1511; 0.14474; 0.14256; 0.1207; 0.08105; 0.03629; 0.03385; 0.0323; 0.01426; 0.01039;28;27;;;
en la ciencia; padre; hijo; madre; mujer; marido; hija; hermana; hermano; novia; novio; 0.16445; 0.13413; 0.10342; 0.09031; 0.04399; 0.04305; 0.0379; 0.03709; 0.01012; 0.00299;29;26;;;
en la fotografía; hijo; padre; madre; mujer; hija; marido; hermana; hermano; novia; novio; 0.20859; 0.17654; 0.1081; 0.07706; 0.05374; 0.05012; 0.0389; 0.0289; 0.0109; 0.00498;28;27;;;
en la electricidad; padre; hijo; madre; marido; mujer; hermano; hermana; hija; novia; novio; 0.16304; 0.16104; 0.08712; 0.08394; 0.06444; 0.06429; 0.03439; 0.03132; 0.01511; 0.00985;32;23;;;
en el clero; padre; madre; hijo; marido; mujer; hermano; hermana; hija; novio; novia; 0.20318; 0.17311; 0.09166; 0.0834; 0.05839; 0.05379; 0.03642; 0.03141; 0.00496; 0.00488;32;23;;;
en fontanería; marido; hijo; padre; mujer; madre; hija; hermano; hermana; novio; novia; 0.18169; 0.14653; 0.10509; 0.10112; 0.09618; 0.03606; 0.02885; 0.02491; 0.01619; 0.01181;33;22;;;
en mecánica; hijo; padre; marido; mujer; madre; hija; hermano; hermana; novia; novio; 0.17086; 0.15788; 0.11963; 0.09101; 0.07957; 0.05184; 0.03573; 0.02798; 0.01178; 0.01127;32;23;;;
