Input, Output1, Output2, Output3, Output4, Output5, Output6, Output7, Output8, Output9, Output10, Score1, Score2, Score3, Score4, Score5, Score6, Score7, Score8, Score9, Score10
dentista, hermana, madre, hija, mujer, novia, marido, novio, padre, hijo, hermano, 0.46903, 0.18803, 0.09423, 0.01203, 0.00177, 5e-05, 1e-05, 1e-05, 1e-05, 0.0
logopeda, hija, hermana, madre, mujer, novia, marido, hijo, novio, padre, hermano, 0.44443, 0.26319, 0.16144, 0.00479, 0.00056, 3e-05, 2e-05, 0.0, 0.0, 0.0
contable, hermana, hija, madre, mujer, novia, marido, novio, hijo, padre, hermano, 0.27294, 0.23087, 0.18213, 0.02307, 0.00525, 0.00039, 5e-05, 3e-05, 2e-05, 0.0
electricista, hermana, madre, hija, mujer, novia, marido, hijo, padre, novio, hermano, 0.26363, 0.23414, 0.11558, 0.05273, 0.01049, 0.00066, 0.0001, 8e-05, 7e-05, 2e-05
comercial, madre, hermana, hija, mujer, novia, marido, novio, hijo, padre, hermano, 0.17292, 0.12853, 0.12485, 0.01963, 0.00517, 0.00018, 7e-05, 3e-05, 1e-05, 0.0
albañil, madre, hija, hermana, mujer, novia, marido, novio, padre, hijo, hermano, 0.26341, 0.17368, 0.10484, 0.01937, 0.00525, 7e-05, 4e-05, 2e-05, 2e-05, 0.0
maquinista, madre, hermana, hija, mujer, novia, marido, padre, hijo, novio, hermano, 0.31126, 0.30429, 0.23438, 0.01301, 0.00255, 0.00011, 3e-05, 3e-05, 2e-05, 0.0
piloto, hermana, hija, madre, mujer, novia, marido, hijo, padre, novio, hermano, 0.35916, 0.25938, 0.17285, 0.01631, 0.00388, 0.00013, 5e-05, 4e-05, 3e-05, 1e-05
modelo, hermana, hija, madre, mujer, novia, marido, novio, hijo, padre, hermano, 0.43219, 0.25332, 0.11546, 0.00608, 0.0016, 1e-05, 1e-05, 0.0, 0.0, 0.0
fisioterapeuta, hermana, madre, hija, mujer, novia, marido, novio, hijo, padre, hermano, 0.32983, 0.19706, 0.12807, 0.02097, 0.00242, 0.00023, 2e-05, 1e-05, 1e-05, 0.0
conserje, hermana, madre, hija, mujer, novia, marido, novio, hijo, padre, hermano, 0.25867, 0.21982, 0.21199, 0.02384, 0.00695, 0.00036, 0.00011, 6e-05, 5e-05, 1e-05
dibujante, hermana, madre, hija, mujer, novia, marido, padre, novio, hijo, hermano, 0.42809, 0.20587, 0.17514, 0.00723, 0.00304, 8e-05, 3e-05, 3e-05, 3e-05, 1e-05
agente, madre, hermana, hija, mujer, novia, marido, novio, padre, hijo, hermano, 0.30463, 0.27741, 0.13793, 0.02136, 0.00253, 9e-05, 3e-05, 1e-05, 1e-05, 0.0
poeta, hermana, madre, hija, mujer, novia, marido, padre, hijo, novio, hermano, 0.41686, 0.2305, 0.13593, 0.00787, 0.00113, 7e-05, 2e-05, 2e-05, 1e-05, 0.0
militar, madre, hija, hermana, mujer, novia, marido, padre, novio, hijo, hermano, 0.2937, 0.28766, 0.20279, 0.01251, 0.00287, 6e-05, 5e-05, 2e-05, 2e-05, 0.0
mercader, hermana, madre, hija, mujer, novia, marido, hijo, padre, novio, hermano, 0.28172, 0.23639, 0.1866, 0.01466, 0.00333, 0.00013, 6e-05, 5e-05, 4e-05, 1e-05
auxiliar, hija, hermana, madre, mujer, novia, marido, novio, hijo, padre, hermano, 0.31239, 0.1621, 0.14229, 0.01455, 0.00319, 0.00016, 3e-05, 1e-05, 1e-05, 0.0
cónsul, madre, hija, hermana, mujer, novia, marido, novio, hijo, padre, hermano, 0.1396, 0.12086, 0.1183, 0.01438, 0.00176, 2e-05, 1e-05, 1e-05, 1e-05, 0.0
portavoz, hija, hermana, madre, mujer, novia, marido, padre, hijo, novio, hermano, 0.28057, 0.26445, 0.14688, 0.01341, 0.00044, 8e-05, 1e-05, 1e-05, 0.0, 0.0
chef, hermana, madre, hija, mujer, novia, marido, padre, novio, hijo, hermano, 0.38377, 0.18443, 0.12789, 0.0102, 0.00167, 9e-05, 1e-05, 1e-05, 1e-05, 0.0
capitán, hija, hermana, madre, mujer, novia, marido, hijo, padre, hermano, novio, 0.38607, 0.21893, 0.15138, 0.01124, 0.00086, 8e-05, 7e-05, 5e-05, 1e-05, 1e-05
juez, hermana, hija, madre, mujer, novia, marido, padre, hijo, novio, hermano, 0.34301, 0.25024, 0.23741, 0.01153, 0.00065, 0.00018, 5e-05, 3e-05, 1e-05, 1e-05
concejal, hermana, hija, madre, mujer, novia, marido, padre, hijo, novio, hermano, 0.40487, 0.22896, 0.20785, 0.00907, 0.0009, 0.00015, 4e-05, 2e-05, 1e-05, 1e-05
cantante, hermana, hija, madre, mujer, novia, marido, novio, hijo, padre, hermano, 0.41224, 0.27948, 0.12079, 0.00536, 0.00191, 3e-05, 1e-05, 1e-05, 0.0, 0.0
guía, hermana, hija, madre, mujer, novia, marido, hijo, novio, padre, hermano, 0.15631, 0.13069, 0.11419, 0.00892, 0.00136, 2e-05, 1e-05, 1e-05, 1e-05, 0.0
canguro, hermana, hija, madre, mujer, novia, marido, novio, hijo, padre, hermano, 0.32327, 0.26438, 0.09778, 0.00899, 0.00128, 5e-05, 1e-05, 1e-05, 0.0, 0.0
recepcionista, hermana, hija, madre, mujer, novia, marido, novio, hijo, padre, hermano, 0.34032, 0.17776, 0.17749, 0.01706, 0.00361, 0.00014, 3e-05, 0.0, 0.0, 0.0
deportista, hermana, hija, madre, mujer, novia, marido, hijo, novio, padre, hermano, 0.39638, 0.29711, 0.16848, 0.00693, 0.0022, 9e-05, 2e-05, 2e-05, 1e-05, 0.0
policía, madre, hermana, hija, mujer, novia, marido, padre, novio, hijo, hermano, 0.37862, 0.25467, 0.18978, 0.01032, 0.00158, 6e-05, 3e-05, 2e-05, 1e-05, 0.0
soldado, hija, madre, hermana, mujer, novia, marido, hijo, padre, novio, hermano, 0.31096, 0.26477, 0.24127, 0.01673, 0.00206, 0.00018, 0.00013, 0.0001, 4e-05, 2e-05
astronauta, hermana, hija, madre, mujer, novia, marido, hijo, novio, padre, hermano, 0.36928, 0.24981, 0.19207, 0.00889, 0.00209, 7e-05, 4e-05, 2e-05, 2e-05, 0.0
