Input; Output1; Output2; Output3; Output4; Output5; Output6; Output7; Output8; Output9; Output10; Score1; Score2; Score3; Score4; Score5; Score6; Score7; Score8; Score9; Score10
dentista; padre; madre; hermana; hermano; marido; mujer; hijo; novio; novia; hija; 0.09844; 0.07106; 0.07016; 0.06626; 0.06401; 0.04751; 0.04695; 0.03703; 0.03653; 0.01052
logopeda; hijo; madre; hija; marido; hermana; padre; mujer; novio; novia; hermano; 0.14597; 0.10436; 0.09158; 0.07062; 0.0672; 0.04941; 0.03222; 0.02178; 0.01978; 0.01186
contable; marido; padre; novio; hijo; novia; mujer; madre; hermano; hermana; hija; 0.15108; 0.05635; 0.0433; 0.03656; 0.03158; 0.02636; 0.01973; 0.0144; 0.01129; 0.00722
electricista; marido; padre; hijo; hermano; novia; novio; mujer; madre; hermana; hija; 0.08487; 0.06874; 0.04269; 0.03753; 0.02129; 0.02029; 0.02028; 0.00834; 0.00321; 0.00041
comercial; marido; novio; hijo; novia; padre; mujer; madre; hermano; hermana; hija; 0.01144; 0.01069; 0.00587; 0.00505; 0.00481; 0.00337; 0.00274; 0.00241; 0.00022; -0.00025
albañil; padre; novio; novia; madre; marido; hijo; mujer; hermano; hija; hermana; 0.01313; 0.00969; 0.00934; 0.00827; 0.00782; 0.00679; 0.00631; 0.00289; 0.00086; 0.00066
maquinista; padre; marido; madre; hijo; hermano; novio; novia; mujer; hermana; hija; 0.17583; 0.10775; 0.09054; 0.08645; 0.05613; 0.04281; 0.04048; 0.03946; 0.03464; 0.021
piloto; padre; hijo; marido; hermano; novio; novia; madre; mujer; hermana; hija; 0.15899; 0.11817; 0.08585; 0.08555; 0.05363; 0.04117; 0.0333; 0.03294; 0.02713; 0.01525
modelo; hermana; madre; novia; hija; novio; mujer; marido; hermano; padre; hijo; 0.14443; 0.09712; 0.07334; 0.06769; 0.05544; 0.05341; 0.04165; 0.03099; 0.03088; 0.02942
fisioterapeuta; marido; padre; mujer; madre; hijo; novio; novia; hermana; hermano; hija; 0.20215; 0.05886; 0.05547; 0.04969; 0.0394; 0.03741; 0.03336; 0.03263; 0.02362; 0.00947
conserje; marido; padre; novio; hijo; hermano; novia; mujer; madre; hermana; hija; 0.09882; 0.08252; 0.06812; 0.05779; 0.04034; 0.02979; 0.01933; 0.01694; 0.0074; 0.00439
dibujante; padre; hermano; hijo; marido; novio; madre; hermana; novia; mujer; hija; 0.15919; 0.08162; 0.07505; 0.06377; 0.05315; 0.04423; 0.0362; 0.03584; 0.01605; 0.01121
agente; padre; marido; madre; mujer; novio; hermano; hijo; novia; hermana; hija; 0.05507; 0.05501; 0.05179; 0.03797; 0.03737; 0.03402; 0.02698; 0.02353; 0.01819; 0.00661
poeta; padre; hermano; hijo; marido; madre; hermana; novio; mujer; novia; hija; 0.145; 0.07221; 0.06458; 0.06291; 0.06276; 0.04471; 0.0271; 0.02221; 0.01683; 0.01098
militar; padre; madre; marido; hijo; novio; novia; hermano; mujer; hija; hermana; 0.16773; 0.04476; 0.03116; 0.02892; 0.02557; 0.02397; 0.02312; 0.01978; 0.01322; 0.01169
mercader; padre; hijo; hermano; marido; novio; madre; novia; mujer; hermana; hija; 0.09878; 0.06252; 0.05846; 0.04134; 0.02923; 0.02056; 0.01598; 0.01324; 0.00922; 0.00433
auxiliar; marido; novio; padre; novia; hijo; mujer; madre; hija; hermana; hermano; 0.04324; 0.01868; 0.01483; 0.01384; 0.01186; 0.01185; 0.011; 0.00706; 0.00446; 0.00383
cónsul; padre; mujer; madre; hijo; novio; novia; marido; hermano; hermana; hija; 0.01169; 0.00825; 0.00759; 0.00713; 0.00556; 0.00542; 0.00489; 0.00487; 0.00198; 0.00125
portavoz; padre; marido; hermano; madre; mujer; hijo; hermana; hija; novio; novia; 0.081; 0.0799; 0.04269; 0.03965; 0.03793; 0.03502; 0.02797; 0.02358; 0.00961; 0.00646
chef; marido; padre; madre; hermano; hermana; hijo; mujer; novio; novia; hija; 0.0947; 0.08281; 0.0567; 0.05392; 0.04654; 0.03863; 0.0327; 0.02982; 0.02816; 0.01173
capitán; padre; hermano; hijo; marido; madre; hija; mujer; novio; hermana; novia; 0.12945; 0.09654; 0.09238; 0.03374; 0.0182; 0.01425; 0.01409; 0.01157; 0.00999; 0.00564
juez; padre; marido; hijo; hermano; madre; hermana; mujer; novio; hija; novia; 0.21377; 0.1251; 0.07952; 0.07517; 0.04681; 0.02642; 0.02364; 0.01607; 0.015; 0.00698
concejal; padre; marido; hermano; hijo; madre; hermana; novio; mujer; hija; novia; 0.19114; 0.13071; 0.09212; 0.06749; 0.0508; 0.03895; 0.02574; 0.02302; 0.01713; 0.01194
cantante; hermana; madre; marido; novia; hijo; padre; hija; novio; hermano; mujer; 0.10187; 0.07519; 0.06863; 0.06493; 0.06275; 0.06027; 0.05516; 0.0535; 0.04511; 0.03475
guía; padre; madre; hijo; mujer; marido; hermano; novia; novio; hermana; hija; 0.00671; 0.00636; 0.00599; 0.00517; 0.00469; 0.0044; 0.00431; 0.00319; 0.00298; 0.00151
canguro; marido; hermana; novio; hijo; madre; mujer; hija; novia; padre; hermano; 0.10426; 0.07628; 0.06018; 0.05936; 0.05816; 0.05605; 0.04984; 0.04168; 0.03455; 0.02987
recepcionista; marido; novio; novia; mujer; madre; hermana; padre; hijo; hija; hermano; 0.1715; 0.07799; 0.06981; 0.06309; 0.06263; 0.04735; 0.02135; 0.01982; 0.01928; 0.00948
deportista; marido; padre; hijo; madre; novio; hermano; hermana; novia; hija; mujer; 0.1288; 0.11564; 0.09988; 0.06604; 0.0619; 0.06157; 0.06145; 0.04719; 0.03663; 0.02826
policía; padre; madre; marido; hijo; novio; hermano; mujer; hermana; novia; hija; 0.16334; 0.10154; 0.05392; 0.04471; 0.03329; 0.03193; 0.02873; 0.02655; 0.02314; 0.01542
soldado; padre; hijo; hermano; marido; novio; madre; mujer; novia; hija; hermana; 0.21436; 0.14792; 0.09621; 0.05929; 0.02804; 0.02507; 0.01649; 0.01074; 0.00863; 0.00852
astronauta; padre; hijo; hermano; marido; madre; novio; hermana; novia; mujer; hija; 0.13653; 0.12509; 0.08311; 0.06869; 0.05142; 0.05105; 0.03891; 0.03068; 0.02476; 0.02066
cura; padre; marido; madre; hermana; hermano; novio; hijo; mujer; novia; hija; 0.07721; 0.07278; 0.05564; 0.05365; 0.05157; 0.03222; 0.0312; 0.03102; 0.02515; 0.01187
periodista; madre; padre; marido; hermana; mujer; hermano; hijo; novia; novio; hija; 0.15234; 0.1132; 0.09322; 0.09147; 0.04493; 0.0425; 0.04037; 0.03402; 0.02499; 0.01997
taxista; padre; marido; hijo; hermano; novio; madre; novia; mujer; hermana; hija; 0.13944; 0.10507; 0.1003; 0.08644; 0.05901; 0.04878; 0.04137; 0.03599; 0.02589; 0.0094
tenista; padre; hijo; marido; hermano; novia; novio; hermana; madre; hija; mujer; 0.10522; 0.08472; 0.08057; 0.07244; 0.07062; 0.0676; 0.06054; 0.05064; 0.03314; 0.02115
agente de viaje; marido; mujer; hermano; hijo; novio; padre; novia; madre; hermana; hija; 0.06706; 0.06397; 0.05179; 0.04959; 0.04839; 0.04166; 0.03607; 0.03528; 0.02293; 0.00686
estilista; madre; marido; hermana; mujer; novia; padre; hijo; novio; hermano; hija; 0.15298; 0.12847; 0.1161; 0.06058; 0.05823; 0.04992; 0.0386; 0.0383; 0.03309; 0.03143
florista; marido; madre; padre; hermana; hijo; hermano; mujer; novio; hija; novia; 0.13159; 0.104; 0.09651; 0.08619; 0.07121; 0.04542; 0.03903; 0.03529; 0.03414; 0.02922
político; padre; hijo; marido; hermano; novio; novia; madre; mujer; hermana; hija; 0.13133; 0.06331; 0.04369; 0.01891; 0.01851; 0.00019; 0.00011; -0.00025; -0.0006; -0.00086
psiquiatra; marido; padre; madre; mujer; hermano; hijo; hermana; novio; novia; hija; 0.14286; 0.12887; 0.07522; 0.05536; 0.04588; 0.04184; 0.037; 0.03336; 0.02555; 0.00971
vigilante de seguridad; padre; novio; novia; hijo; marido; madre; hermano; mujer; hermana; hija; 0.08247; 0.05614; 0.04515; 0.04501; 0.04226; 0.02034; 0.01182; 0.01152; 0.00655; 0.00647
socorrista; marido; padre; hijo; madre; novio; novia; hija; hermana; mujer; hermano; 0.15166; 0.12165; 0.08629; 0.07554; 0.06368; 0.05282; 0.04286; 0.04076; 0.04064; 0.03587
sastre; padre; marido; hermano; novio; hijo; madre; novia; mujer; hermana; hija; 0.1993; 0.09125; 0.08625; 0.04467; 0.04024; 0.02249; 0.01782; 0.01313; 0.00661; 0.00095
economista; padre; marido; madre; hermano; hijo; hermana; mujer; novio; novia; hija; 0.18696; 0.13755; 0.07676; 0.07383; 0.04555; 0.04195; 0.0302; 0.02952; 0.02608; 0.00838
psicoanalista; marido; padre; madre; mujer; hermana; novia; novio; hijo; hermano; hija; 0.15631; 0.10393; 0.08914; 0.05024; 0.03792; 0.03587; 0.03469; 0.03307; 0.02606; 0.01038
auxiliar de enfermería; marido; madre; hijo; novia; novio; padre; hija; mujer; hermana; hermano; 0.08286; 0.03604; 0.03097; 0.02934; 0.02604; 0.02456; 0.02256; 0.01942; 0.01134; 0.0016
