Input; Output1; Output2; Output3; Output4; Output5; Output6; Output7; Output8; Output9; Output10; Score1; Score2; Score3; Score4; Score5; Score6; Score7; Score8; Score9; Score10
dentista; padre; madre; hermano; marido; hermana; hijo; mujer; novio; novia; hija; 0.09883; 0.06733; 0.06666; 0.06431; 0.06375; 0.04733; 0.04406; 0.03738; 0.03571; 0.00172
logopeda; hijo; madre; hija; marido; hermana; padre; mujer; novio; novia; hermano; 0.14634; 0.10064; 0.08279; 0.07092; 0.06078; 0.0498; 0.02877; 0.02213; 0.01896; 0.01226
contable; marido; padre; novio; hijo; novia; mujer; madre; hermano; hermana; hija; 0.15138; 0.05674; 0.04365; 0.03693; 0.03076; 0.02291; 0.01601; 0.0148; 0.00488; -0.00158
electricista; marido; padre; hijo; hermano; novio; novia; mujer; madre; hermana; hija; 0.08516; 0.06913; 0.04307; 0.03793; 0.02064; 0.02047; 0.01684; 0.00462; -0.00321; -0.00839
comercial; marido; novio; hijo; padre; novia; hermano; mujer; madre; hermana; hija; 0.01173; 0.01104; 0.00625; 0.00521; 0.00423; 0.00281; -7e-05; -0.00098; -0.00619; -0.00904
albañil; padre; novio; novia; marido; hijo; madre; hermano; mujer; hermana; hija; 0.01352; 0.01004; 0.00852; 0.00811; 0.00717; 0.00455; 0.00329; 0.00286; -0.00575; -0.00794
maquinista; padre; marido; hijo; madre; hermano; novio; novia; mujer; hermana; hija; 0.17622; 0.10805; 0.08683; 0.08681; 0.05653; 0.04316; 0.03966; 0.03601; 0.02822; 0.0122
piloto; padre; hijo; marido; hermano; novio; novia; madre; mujer; hermana; hija; 0.15938; 0.11854; 0.08615; 0.08595; 0.05398; 0.04035; 0.02957; 0.0295; 0.02072; 0.00646
modelo; hermana; madre; novia; hija; novio; mujer; marido; hermano; padre; hijo; 0.13801; 0.09339; 0.07253; 0.05889; 0.05579; 0.04997; 0.04195; 0.03139; 0.03127; 0.02979
fisioterapeuta; marido; padre; mujer; madre; hijo; novio; novia; hermana; hermano; hija; 0.20245; 0.05925; 0.05203; 0.04596; 0.03977; 0.03776; 0.03255; 0.02621; 0.02402; 0.00067
conserje; marido; padre; novio; hijo; hermano; novia; mujer; madre; hermana; hija; 0.09912; 0.08292; 0.06847; 0.05817; 0.04074; 0.02897; 0.01589; 0.01321; 0.00099; -0.0044
dibujante; padre; hermano; hijo; marido; novio; madre; novia; hermana; mujer; hija; 0.15958; 0.08202; 0.07542; 0.06406; 0.0535; 0.04051; 0.03503; 0.02979; 0.01261; 0.00241
agente; padre; marido; madre; novio; mujer; hermano; hijo; novia; hermana; hija; 0.05546; 0.05531; 0.04806; 0.03772; 0.03453; 0.03442; 0.02735; 0.02271; 0.01177; -0.00219
poeta; padre; hermano; hijo; marido; madre; hermana; novio; mujer; novia; hija; 0.14539; 0.07261; 0.06496; 0.06321; 0.05904; 0.0383; 0.02745; 0.01877; 0.01601; 0.00218
militar; padre; madre; marido; hijo; novio; hermano; novia; mujer; hermana; hija; 0.16813; 0.04104; 0.03145; 0.0293; 0.02592; 0.02352; 0.02315; 0.01634; 0.00528; 0.00442
mercader; padre; hijo; hermano; marido; novio; madre; novia; mujer; hermana; hija; 0.09918; 0.06289; 0.05886; 0.04164; 0.02958; 0.01683; 0.01517; 0.0098; 0.00281; -0.00446
auxiliar; marido; novio; padre; novia; hijo; mujer; madre; hermano; hija; hermana; 0.04354; 0.01903; 0.01522; 0.01303; 0.01224; 0.0084; 0.00728; 0.00423; -0.00173; -0.00196
cónsul; padre; hijo; novio; hermano; marido; mujer; novia; madre; hermana; hija; 0.01209; 0.00751; 0.00591; 0.00527; 0.00518; 0.00481; 0.0046; 0.00386; -0.00443; -0.00755
portavoz; padre; marido; hermano; madre; hijo; mujer; hermana; hija; novio; novia; 0.08139; 0.0802; 0.04309; 0.03593; 0.03539; 0.03449; 0.02155; 0.01479; 0.00996; 0.00564
chef; marido; padre; hermano; madre; hermana; hijo; novio; mujer; novia; hija; 0.09499; 0.0832; 0.05432; 0.05297; 0.04012; 0.03901; 0.03017; 0.02926; 0.02734; 0.00294
capitán; padre; hermano; hijo; marido; madre; novio; mujer; hija; novia; hermana; 0.12985; 0.09694; 0.09275; 0.03403; 0.01447; 0.01192; 0.01065; 0.00546; 0.00483; 0.00358
juez; padre; marido; hijo; hermano; madre; mujer; hermana; novio; hija; novia; 0.21416; 0.1254; 0.0799; 0.07557; 0.04309; 0.0202; 0.02; 0.01642; 0.0062; 0.00616
concejal; padre; marido; hermano; hijo; madre; hermana; novio; mujer; novia; hija; 0.19153; 0.13101; 0.09252; 0.06786; 0.04707; 0.03253; 0.02609; 0.01958; 0.01112; 0.00833
