Input; Output1; Output2; Output3; Output4; Output5; Output6; Output7; Output8; Output9; Output10; Score1; Score2; Score3; Score4; Score5; Score6; Score7; Score8; Score9; Score10
dentista; padre; hermano; marido; hijo; novio; madre; novia; mujer; hermana; hija; 0.10275; 0.07068; 0.06727; 0.05105; 0.04089; 0.03009; 0.02756; 0.00963; -0.00038; -0.08625
logopeda; hijo; marido; madre; padre; novio; hermano; novia; hermana; hija; mujer; 0.15007; 0.07388; 0.06339; 0.05372; 0.02563; 0.01628; 0.0108; -0.00334; -0.00518; -0.00566
contable; marido; padre; novio; hijo; novia; hermano; mujer; madre; hermana; hija; 0.15433; 0.06066; 0.04716; 0.04066; 0.0226; 0.01881; -0.01153; -0.02123; -0.05925; -0.08955
electricista; marido; padre; hijo; hermano; novio; novia; mujer; madre; hermana; hija; 0.08812; 0.07305; 0.0468; 0.04194; 0.02414; 0.01231; -0.0176; -0.03263; -0.06733; -0.09636
comercial; marido; novio; hijo; padre; hermano; novia; mujer; madre; hermana; hija; 0.01469; 0.01455; 0.00998; 0.00913; 0.00682; -0.00393; -0.03451; -0.03823; -0.07032; -0.09701
albañil; padre; novio; marido; hijo; hermano; novia; mujer; madre; hermana; hija; 0.01744; 0.01354; 0.01107; 0.0109; 0.0073; 0.00036; -0.03157; -0.0327; -0.06988; -0.09591
maquinista; padre; marido; hijo; hermano; madre; novio; novia; mujer; hermana; hija; 0.18014; 0.111; 0.09056; 0.06054; 0.04957; 0.04666; 0.0315; 0.00157; -0.0359; -0.07577
piloto; padre; hijo; hermano; marido; novio; novia; mujer; madre; hermana; hija; 0.1633; 0.12227; 0.08996; 0.08911; 0.05748; 0.03219; -0.00494; -0.00767; -0.04341; -0.08151
modelo; hermana; novia; novio; madre; marido; hermano; padre; hijo; mujer; hija; 0.07388; 0.06437; 0.0593; 0.05615; 0.0449; 0.03541; 0.03519; 0.03352; 0.01553; -0.02908
fisioterapeuta; marido; padre; hijo; novio; hermano; novia; mujer; madre; hermana; hija; 0.2054; 0.06317; 0.0435; 0.04127; 0.02803; 0.02439; 0.01759; 0.00872; -0.03792; -0.08729
conserje; marido; padre; novio; hijo; hermano; novia; mujer; madre; hermana; hija; 0.10207; 0.08684; 0.07197; 0.06189; 0.04476; 0.02081; -0.01855; -0.02403; -0.06314; -0.09237
dibujante; padre; hermano; hijo; marido; novio; novia; madre; mujer; hermana; hija; 0.1635; 0.08604; 0.07915; 0.06702; 0.057; 0.02687; 0.00326; -0.02183; -0.03434; -0.08555
agente; padre; marido; novio; hermano; hijo; novia; madre; mujer; hermana; hija; 0.05938; 0.05826; 0.04122; 0.03843; 0.03108; 0.01455; 0.01082; 9e-05; -0.05235; -0.09016
poeta; padre; hermano; hijo; marido; novio; madre; novia; mujer; hermana; hija; 0.14931; 0.07662; 0.06868; 0.06616; 0.03095; 0.02179; 0.00785; -0.01567; -0.02583; -0.08579
militar; padre; marido; hijo; novio; hermano; novia; madre; mujer; hermana; hija; 0.17205; 0.03441; 0.03302; 0.02942; 0.02753; 0.015; 0.00379; -0.0181; -0.05885; -0.08354
mercader; padre; hijo; hermano; marido; novio; novia; madre; mujer; hermana; hija; 0.1031; 0.06662; 0.06287; 0.0446; 0.03308; 0.00701; -0.02041; -0.02464; -0.06132; -0.09243
auxiliar; marido; novio; padre; hijo; hermano; novia; mujer; madre; hermana; hija; 0.0465; 0.02254; 0.01914; 0.01597; 0.00824; 0.00487; -0.02603; -0.02997; -0.06608; -0.0897
cónsul; padre; hijo; novio; hermano; marido; novia; mujer; madre; hermana; hija; 0.01601; 0.01124; 0.00941; 0.00928; 0.00814; -0.00356; -0.02963; -0.03338; -0.06856; -0.09552
portavoz; padre; marido; hermano; hijo; novio; mujer; madre; novia; hermana; hija; 0.08531; 0.08315; 0.04711; 0.03912; 0.01346; 5e-05; -0.00132; -0.00252; -0.04258; -0.07318
chef; marido; padre; hermano; hijo; novio; novia; madre; mujer; hermana; hija; 0.09795; 0.08712; 0.05834; 0.04274; 0.03367; 0.01918; 0.01573; -0.00518; -0.024; -0.08503
capitán; padre; hermano; hijo; marido; novio; novia; madre; mujer; hermana; hija; 0.13377; 0.10096; 0.09648; 0.03699; 0.01542; -0.00333; -0.02277; -0.02379; -0.06055; -0.08251
juez; padre; marido; hijo; hermano; novio; madre; novia; mujer; hermana; hija; 0.21808; 0.12836; 0.08363; 0.07959; 0.01992; 0.00584; -0.002; -0.01424; -0.04413; -0.08177
concejal; padre; marido; hermano; hijo; novio; madre; novia; mujer; hermana; hija; 0.19545; 0.13397; 0.09654; 0.07159; 0.02959; 0.00983; 0.00296; -0.01486; -0.0316; -0.07964
cantante; marido; hijo; padre; novio; novia; hermano; madre; hermana; mujer; hija; 0.07188; 0.06685; 0.06458; 0.05735; 0.05595; 0.04952; 0.03422; 0.03133; -0.00313; -0.04161
guía; padre; hijo; hermano; marido; novio; novia; mujer; madre; hermana; hija; 0.01102; 0.01009; 0.00882; 0.00795; 0.00705; -0.00467; -0.03272; -0.03461; -0.06757; -0.09525
canguro; marido; novio; hijo; padre; hermano; novia; mujer; madre; hermana; hija; 0.10751; 0.06403; 0.06347; 0.03886; 0.03428; 0.03271; 0.01817; 0.01719; 0.00573; -0.04692
recepcionista; marido; novio; novia; padre; mujer; hijo; madre; hermano; hermana; hija; 0.17475; 0.08184; 0.06083; 0.02566; 0.02521; 0.02392; 0.02166; 0.0139; -0.0232; -0.07748
deportista; marido; padre; hijo; hermano; novio; novia; madre; hermana; mujer; hija; 0.13206; 0.11995; 0.10398; 0.06598; 0.06575; 0.03821; 0.02507; -0.00909; -0.00962; -0.06013
policía; padre; madre; marido; hijo; novio; hermano; novia; mujer; hermana; hija; 0.16765; 0.06057; 0.05717; 0.04881; 0.03714; 0.03634; 0.01416; -0.00915; -0.04399; -0.08134
soldado; padre; hijo; hermano; marido; novio; novia; madre; mujer; hermana; hija; 0.21867; 0.15202; 0.10062; 0.06254; 0.0319; 0.00176; -0.0159; -0.0214; -0.06202; -0.08814
astronauta; padre; hijo; hermano; marido; novio; novia; madre; mujer; hermana; hija; 0.14084; 0.12919; 0.08752; 0.07194; 0.05491; 0.0217; 0.01045; -0.01312; -0.03163; -0.07611
cura; padre; marido; hermano; novio; hijo; novia; madre; mujer; hermana; hija; 0.08153; 0.07603; 0.05598; 0.03607; 0.0353; 0.01617; 0.01467; -0.00687; -0.0169; -0.08489
periodista; padre; madre; marido; hermano; hijo; novio; novia; hermana; mujer; hija; 0.11751; 0.11137; 0.09647; 0.04691; 0.04447; 0.02884; 0.02505; 0.02092; 0.00704; -0.0768
taxista; padre; marido; hijo; hermano; novio; novia; madre; mujer; hermana; hija; 0.14375; 0.10832; 0.1044; 0.09086; 0.06286; 0.0324; 0.00781; -0.00189; -0.04465; -0.08737
tenista; padre; hijo; marido; hermano; novio; novia; madre; hermana; mujer; hija; 0.10954; 0.08882; 0.08382; 0.07685; 0.07146; 0.06164; 0.00967; -0.01; -0.01673; -0.06363
agente de viaje; marido; hermano; hijo; novio; padre; novia; mujer; madre; hermana; hija; 0.07031; 0.05621; 0.0537; 0.05224; 0.04598; 0.0271; 0.02609; -0.00569; -0.04761; -0.08991
estilista; marido; madre; padre; novia; hermana; hijo; novio; hermano; mujer; hija; 0.13172; 0.11201; 0.05424; 0.04926; 0.04556; 0.0427; 0.04215; 0.0375; 0.0227; -0.06533
florista; marido; padre; hijo; madre; hermano; novio; novia; hermana; mujer; hija; 0.13484; 0.10082; 0.07531; 0.06303; 0.04983; 0.03914; 0.02025; 0.01565; 0.00115; -0.06263
político; padre; hijo; marido; hermano; novio; novia; mujer; madre; hermana; hija; 0.13564; 0.06741; 0.04694; 0.02332; 0.02237; -0.00878; -0.03814; -0.04086; -0.07115; -0.09762
psiquiatra; marido; padre; hermano; hijo; novio; madre; mujer; novia; hermana; hija; 0.14611; 0.13318; 0.05029; 0.04594; 0.03721; 0.03425; 0.01748; 0.01657; -0.03354; -0.08705
vigilante de seguridad; padre; novio; hijo; marido; novia; hermano; madre; mujer; hermana; hija; 0.08678; 0.05999; 0.04911; 0.04551; 0.03617; 0.01624; -0.02063; -0.02637; -0.06399; -0.09029
socorrista; marido; padre; hijo; novio; novia; hermano; madre; mujer; hermana; hija; 0.15491; 0.12597; 0.09039; 0.06753; 0.04384; 0.04029; 0.03458; 0.00276; -0.02978; -0.05391
sastre; padre; marido; hermano; novio; hijo; novia; madre; mujer; hermana; hija; 0.20362; 0.0945; 0.09067; 0.04852; 0.04434; 0.00884; -0.01848; -0.02476; -0.06393; -0.09581
economista; padre; marido; hermano; hijo; madre; novio; novia; mujer; hermana; hija; 0.19127; 0.1408; 0.07825; 0.04965; 0.03579; 0.03337; 0.0171; -0.00768; -0.02859; -0.08838
psicoanalista; marido; padre; madre; novio; hijo; hermano; novia; mujer; hermana; hija; 0.15956; 0.10824; 0.04818; 0.03855; 0.03718; 0.03047; 0.02689; 0.01236; -0.03262; -0.08639
auxiliar de enfermería; marido; hijo; novio; padre; novia; hermano; madre; mujer; hermana; hija; 0.08612; 0.03507; 0.02989; 0.02887; 0.02036; 0.00602; -0.00493; -0.01847; -0.0592; -0.0742
